Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Apex|Sunseeds.|Sunseeds.|F1 hybrid, early, short, medium bead size.|Futura.|wide.||
Apollo (XPH 468)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, less hollow stem than Gem.|Futura and Green Duke. 1981.||none claimed.|
Arcadia (#83-3)|Sakata.|Sakata.|midseason about 108 day maturity from sowing, very deep domed shaped head with small fine beads of dark green color, good cold resistance for winter harvest, suitable for fresh market and processing.|Hybrid Broccoli, Marathon. 1985.||tolerance to downy mildew, black rot.|
Atlantic (XP 1001)|Asgrow Seed Company, New Haven, Connecticut.|Asgrow Seed Company, New Haven, Connecticut.|very uniform plant, head, and maturity; short compact plant, medium large beads and side shoots; matures after Coastal but one week earlier than Waltham 29.||eastern United States. Asgrow Your Crops, Vol. 9, number 5, Fall 1961.||
Baccus (XPH 5003)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, early, heat tolerant for Midwestern United States.|Packman, Galaxy.|Great Lakes and eastern seaboard. 1986.||
Big Sur (XPH5609)|Asgrow.|Asgrow.|small plant; clean stem; domed head; 77 day maturity.|Gem, Futura, Symphony. 1990.|||
Bonanza|Known-You Seed Co.|Known-You Seed Co.|F1 hybrid, large, tight, central heads and excellent production of side shoots after central head is cut.|Premium Crop.|wide. 1982.||
Bravado (BOS 1095)|Orsetti Seed Co. |Orsetti Seed Co. |||U.S.  2005.||
Bravo (Hybrid 9)|T. Sakata and Co.|Northrup King Company.|F1 hybrid.|Pacifica and Topper. 1970.|||
Brigadier (PSX 17883)|Petoseed.|Petoseed.|mid. season medium size plant for fresh market or freezer, light domed, good weight and exsertion, medium bead.|Emperor, Premium Crop. 1987.|||
Buccaneer (PSX20684)|Petoseed.|Petoseed.|early mid-season, medium fine beads on a well rounded dome, for processing and fresh market in Texas, California, Pacific Northwest.||wide. 1987.||
Cabana (BOS 1160)|Orsetti Seed Co. |Orsetti Seed Co. |||U.S.  2005.||
