Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Akala|Enza Zaden.|Enza Zaden.|||||
Arcadia (XPH 793)||Asgrow.|very early Napa type Chinese cabbage.|Zephyr. 1984.|||
Banko|Bejo Seeds.|Seedway.|F1 hybrid with excellent bolt tolerance; tall, narrow, cylindrical shaped heads.|||fusarium yellows, clubroot.|
Burpee Hybrid|W. Atlee Burpee Company, Philadelphia.|W. Atlee Burpee Company, Philadelphia.|F1 hybrid, giant cylindrical heads, broad and tightly folded; heavily savoyed, thick, succulent leaves.||wide, fall crop. Burpee catalog. 1961.||closed.
Chiko|Seedway.|Bejo.|F1 hybrid, Chinese cabbage type, early, narrow cylindrical, vigorous tall.||||
China Express||Harris Seeds.|early hybrid, slow-bolting Napa type, barrel-shaped, well wrapped, uniform.||||
Greenwich (SCC7302)|Sakata Seed.|Sakata Seed.||Michihili Jade Pagoda. 1999.|||F1 hybrid.
Jade Pagoda||Harris Seeds.|F1 hybrid that tolerates cold and is slow to bolt; dark green and crisp.|||bacterial soft rot and virus.|
Jazz|Takii.|Takii.|slow-bolting hybrid.|||clubroot.|
Joi Choi||Harris Seeds.|F1 hybrid with 45-day maturity, white stems and dark green leaves.|||cold.|
Magica (XPH 791)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, round top head, good field holding and shipping quality.|Early Hybrid.|wide. 1983.||
Mandarin|Ferry-Morse Seed Company, Detroit.|Ferry-Morse Seed Company, Detroit.|more uniform and sure heading than Wong Bok.|Wong Bok.|wide; for late summer planting. 1952.||Wong Bok.
Manoko|Bejo Seeds.|Seedway.|F1 hybrid, bolt tolerant, medium green, compact, dense heads.|||fusarium yellows, tipburn tolerance.|
Marquis||Takii.|F1 hybrid, Chinese cabbage type, early, holds well, bright green.|||tolerance high to clubroot.|
Michihli|Ferry-Morse Seed Company, Detroit.|Ferry-Morse Seed Company, Detroit.|more uniform and sure heading than Chihli.|Chihli.|northern half of the United States for July planting.||Chihli.
Minuet|Johnny's Selections, South Korea.|Johnny's Selections, South Korea.|||||F1 hybrid. 2000.
Nekita|Enza Zaden.|Enza Zaden.|||||
Nerva|Enza Zaden.|Enza Zaden.|||||
Optika|Seedway.|Bejo.|F1 hybrid, Chinese cabbage type, barrel shaped, vigorous, Napa type.|||tolerance to tipburn, bolting.|
Prize Choy||Johnny's Selected Seeds.|||||
T-652|Takii.||F1 hybrid, Chinese cabbage type, slow bolting, upright, holds well.|||virus, soft rot, alternaria; tolerance to some club root races.|
Zen|Seminis Vegetable Seeds.|W. Atlee Burpee Co.|a cross between a chinese cabbage and an oriental green cultivar (not a geneticaly modified organism); heat resistant; vigorous growth year around and in any area, even in the summer; harvest 35 days after sowing; thick, green leaf; tender and soft like Komatsuha (Japanese spinach); moderately sweet like cabbage.||U.S. 2001.||F1 hybrid.
Zephyr (XPH 790)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, early, high yielding.|Early Hybrid G.|wide. 1983.||
