Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Absolute (HMX 0226)|Clause/Tezier.|Harris Moran.|main season, fresh market type with medium plant size, excellent curd protection, dense and bright white head color; wide adaptability with very uniform maturity.||U.S. 2002.||F1 hybrid.
Alaska (HMX 0227)|Clause/Tezier.|Harris Moran.|for spring harvest in coastal regions and warm wet season in Mexico; medium large plant type providing very good head protection; heads are dense, domed and white.||fresh market or processing, U.S. 2002.||F1 hybrid.
Allwhite (type 141)|Rijk Zwaan B.V. Seed Co.|Rijk Zwaan B.V. Seed Co.|open pollinated, dark green erect leaves; white flowering head, well covered.||wide. 1980.||
Alpine (SSC 55)|Shamrock.|Shamrock.|an early hybrid for autumn cropping, curds are pure white with a deep dome.|Candid Charm. 1992.||international greening.|
Arapaho|Yates, New Zealand.|Moran Seeds.|open pollinated, for mild areas, plant in the fall for early spring harvest; deep, white, smooth heads 6-6.5' in diameter; large, erect, dark green plants.|Australian types.|mild climate areas. 1978.||
Arctic (SSC-58)|Shamrock.|Shamrock.|a second early hybrid for autumn cropping, plants produce dense deep domed white curds.|Cashmere. 1992.||international greening.|
Artemis (XPH 5793)|Asgrow.|Asgrow.|medium maturity, head coverage is excellent with upright jacket leaves, the curd is dense and well domed with nice white color.|Snow Star.|southern, central Italy for over-wintering plantings. 1992.||
Artica (HMX 3171)|Clause.|Harris Moran.|uniform, white, heavy dense curd; good curd cover; excellent vigor with uniform maturity; no internal greening of curd, self-wrapping.||Mexico, Pacific northwest, Canada, Eastern U.S. 1998.||F1 hybrid.
Attribute (HMX 0242)|Clause/Tezier.|Harris Moran.|fresh market production in the eastern U.S.; also for baby production in the western U.S.; good quality dome with exceptional white color and good yields.||fresh market, U.S. 2003.||F1 hybrid.
Balmo (XP 4010)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, later maturing than Polo.|Polo, February. 1984.|||
Blizzard (NV1550)|Rogers Brothers.|Rogers Brothers.|white curd with high density, approximately 85-90 day maturity, 6-7' head diameter.|White Rock, White Satin. 1991.|||
Callisto (BOS 5008)|Joseph Stern.|Orsetti Seed Co.|inner wrapper, large dense head.||late spring, summer, fall harvest. 2000.||F1 hybrid.
Candid Charm (NVH 1505)|Northrup King Co.|Northrup King Co.|F1 hybrid, uniform, vigorous, tight-domed head; later-maturing than Snowball Y; does not produce purplish color on head.|Glacier and Snowball Y.|all cauliflower producing areas. 1983.||
Capricorn (BOS 5010)|Joseph Stern.|Orsetti Seed Company, Inc.|inner wrapper, smooth, deep round head.||summer, fall. 2001.||F1 hybrid.
Cashmere (S-22)|Sakata.|Sakata.|vigorous leaf jacket protects a dense white core.|Early Glacier. 1988.|||
Cheddar (PX 66196)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|medium weight curds, firmness; medium orange with elevated beta carotene level.||NAFTA - Northeast and Southwest Coastal U.S. 2004.||F1 hybrid.
Cielo Blanco (PS 514415)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|vigorous, self blanching type for winter harvest in California and Arizona; produces heavy, smooth white curds that are well protected; for fresh market and processing.|White Magic, Incline, Shasta.|NAFTA - Southwest Coastal U.S. and Mexico. 2004.||F1 hybrid.
Concert (RCF1520)|Rogers.|Rogers.|vigorous, upright plant, early maturity, white, domed and dense heads, tight curd cover, suitable for fresh and processed use.||spring, summer and fall harvest seasons. 1997.|some heat tolerance.|F1 hybrid.
Corsica (BOS 5070)|Orsetti Seed Co. |Orsetti Seed Co. |||U.S.  2005.||
Crown Jewels (PSX 516189)|Petoseed.|Petoseed.|early maturing, self blanched, high quality white curd.|Snow Crown. 1994.|||
Crystal (PSX 90384)|Petoseed.|Petoseed.|upright medium green leaves, good handling, dense white curd.|Snowball Y Improved. 1991.|||
Defender (PSX 548290)|Petoseed.|Petoseed.|large vigorous plant mid to late maturity for winter harvest in coastal areas.|Snow March. 1992.|||
Earli-light (ACX 1803)|Abbott & Cobb.|Abbott & Cobb.|extra early maturity, heat tolerant.|Early Snowball. 1982.|||
Early Glacier (NVH 1506)|Northrup King Co.|Northrup King Co.|F1 hybrid, about 10 days earlier than Glacier and Snowball Y; tight, dome shaped head; good vigor.|Snowball Y and Glacier.|all cauliflower producing areas. 1983.||
Early Snowball A|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|earliness; large, smooth heads.|Super Snowball.|eastern and midwestern United States. 1941.||selection from Super Snowball.
Early Snowflake|Dessert Seed Co.|Dessert Seed Co.|open pollinated, early.|Tropical types.|warm regions.||
Early White|Fukukaen Nursery and Bulb Company, Nagoya, Japan.|W. Atlee Burpee Co.|F1 hybrid, very early, large round-headed type that holds well without becoming loose or ricey; good self-blanching tendency.|Snow Crown.|wide. 1981.||
Europa (BOS 5020)|Joseph Stern.|Orsetti Seed Company, Inc.|very small frame, summer culture for increased planting density, inner twisted jacket, good head solidity.||spring, summer. 2001.||F1 hybrid.
