Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Baja (PYC 66-D-2)|Pybas Vegetable Seed Co.|Pybas Vegetable Seed Co.|especially suited for the midwestern U.S. processing industry; tall, vigorous, exceptionally dark-green; relatively easy bolting.||Michigan, Wisconsin, Mid-western U.S. 1998.|excellent to fusarium yellows.|UC-1.
Bishop (CRY 002)|Moran Seeds.|Moran Seeds.|open pollinated, longer petioles than 52-70 types; compact hearts with dark green color; petioles are capped more than typical 52-70 types; dark green color extends well into basal region.|Tall Utah 52-70 R.|California coastal valleys. 1982.|tolerance to fusarium yellows.|
Calmario (NCX 151)|Niagara Chemical Division, FMC.|Niagara Chemical Division, FMC.|productive, green type with heavy petiole and high pack out of medium large petioles.|Florida 683.|general. Amer. Vegetable Grower, December, 1971.|tolerance to pink root.|Florida 683 x Utah 52-70R.
Challenger (Exp 107)|Pybas Vegetable Seed Co.|Pybas Vegetable Seed Co.|smooth, dark-green petioles, compact, relatively easy bolting.||California. 1999.|fusarium yellows.|UC390.
Clean Cut (H30)|Joseph Harris Co.|Joseph Harris Co.|open pollinated, 125 days from transplanting, ships well with excellent quality, large heavy petioles of good length: relatively few side shoots.|Utah 52-70.|northern mucklands. 1975.||
Comet (RS2027)|D. Sousa.|Petoseed.|Tall Utah type main season, western shipper type for summer and fall harvest, uniform maturity.|Florida 683. 1995.||some tolerance to fusarium race 2.|
Compak 2|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|deep, rich, green color; compact plant; good stem count; long petioles.|Tall Utah 52-70.|general. Ferry-Morse Seed Company, 5 April 1963.|brown check, magnesium yellows.|
Compak I|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|compact heads, main crop for shipping; medium width, dark green, thick, deeply cupped stems; medium long petioles.|Compak 2.|general. Ferry-Morse Seed Company, 15 April 1963.|brown check.|
Conquistador|Pybas Vegetable Seed.||highly refined Tall Utah 52-75 selection, dark green color, smooth petioles.||West Coast. 1992.|good tolerance to bolting.|
Copernico (PS 14892)|Seminis Vegetable Seeds-Petoseed.|Seminis Vegetable Seeds-Petoseed.|taller than Ponderosa; improved quality; dark green; commercial quality.||California, Michigan. 1999.|fusarium yellows.|open pollinated.
Cornell 6|Cornell University, Ithaca, New York.||self-blanching, smooth, thick petioles, brittle, high quality. Cornell University Agric. Expt. Sta. Annual Report 1941:145, 1942.||Cornell 19 cultivar.||Golden Self Blanching x Utah.
Cornell 19|Cornell University, Ithaca, New York.||smooth, self-blanching, petioles in a little taller and not quite as thick as Cornell 6, brittle and of high quality.|Cornell 6 cultivar. Cornell University Agric. Expt. Sta. Annual Report 1941:145, 1942.||fusarium Yellows.|Golden Self Blanching x Utah.
Cornell 6.19|Cornell University, Ithaca, New York.||petiole thickness of Cornell 6, length of Cornell 19; less brittle and slightly better heart than either parent.|Cornell 19.|northeastern United States. 1953.|fusarium yellows.|Cornell 6 x Cornell 19.
Deacon (CRY 001)|Moran Seeds.|Moran Seeds.|open pollinated, taller than 52-70 types, compact hearts, and thick, smooth, round ribs; petioles are very dark green all the way to the base.|Tall Utah 52-70.|California coastal valleys. 1982.|tolerance to fusarium yellows.|
Delmar (XP 304)|H. Reif.|Asgrow Seed Company, New Haven, Connecticut.|about 1 week earlier than Utah 52-70.|Utah 52-70.|California coastal area. 1961.|high to pithiness, tolerance to bolting.|
Emerson Pascal|Cornell University and Everglades and Central Florida Expt. Sta., Ithaca, New York, and Belle Glade, and Sanford, Florida, respectively.||green type, deeply cut leaves, smooth, thick petioles, brittle and high in quality; poor heart development.|Summer Pascal. Farm. Research 18(1):11. 1952.||moderate to cercospora and septoria blights.|Danish (White Plume) x Golden Self Blanching x Cornell 19 x Cornell 6.
Fiesta (Exp130)|Pybas Vegetable Seed Co.|Pybas Vegetable Seed Co.|long, dark green, moderately smooth petioles; moderate level of bolting tolerance; heavy yielding in Fusarium-free soils.||California coastal valleys. 1999.||Summit.
Floribelle M9|E. Wolf.|University of Florida.|intermediate growth habit between Crystal Jumbo and Utah types, midseason cultivar, 92-99 day maturity after transplant; petioles and leaves moderate glossy and green, susceptible to blackheart.|||early and bacterial blight. 1991.|
Florida 683 (EES 683)|Florida Everglades Expt. Sta., Belle Glade.||cylindrical compact plants with excellent heart formation, highly productive.|Utah 52-70, but darker green.|fall and winter crops in the Florida Everglades. Florida Circ. S156. 1964.|node crack and boron deficiencies.|selection from Utah 52.70.
Florida Slobolt M68|E. Wolf.|University of Florida.|medium green Utah type.||Florida production in April, early May. 1993.|bolting in Everglades.|
Florigreen (XP 74)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, attractive uniform, vigorous green-stalked cultivar developed to provide a distinct petiole type for fancy grade pack.|Florida 683.|wide. 1976.|tolerance to brown spot, western celery mosaic, brown check.|
Florimart (391-19C)|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|tall, cylindrical plant, relatively slow bolting.|Summer Pascal.|Florida. Ferry-Morse Seed Company, 19 August 1963.|cercospora.|
FM Green E5A (E5A)|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|tall, compact plant, stems medium thick and medium wide; stem color medium green.|Tall Utah 52-70.|general. Ferry-Morse Seed Company, 15 April 1963.||
FM-D5 (D5)|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|stems are medium wide, very thick, deeply cupped, smooth and waxy, dark green; petioles long; plant habit slightly open.|Tall Summer Pascal.|general. Ferry-Morse Seed Company, 15 April 1963.|brown check, magnesium yellows.|
Fuerte (PYC66)|Pybas Vegetable Seed Co.|Pybas Vegetable Seed Co.|a shorter, dark-green fresh market type, with unusually uniform petioles in length, compact and medium smoothness; moderately slow resistance.||Michigan, Wisconsin, Midwestern U.S. 1999.|excellent to fusarium yellows.|UC-1.
Glademaster (X 136)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|compact, slightly darker green than 52-70; very uniform.||Florida. 1968.|feather leaves.|
Golden Plume 4162|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|hardy for a Golden type but possibly too dwarf.|Golden Plume.|eastern United States. 1938.||selection from Golden Plume.
Golden Spartan (68-51)|Michigan Agric. Expt. Sta., East Lansing.|Keystone Seed Co.|nonbolting, yellow, round and thick petioles with few fibers.|Cornell 19. Michigan Agric. Expt. Sta. Research Report. 1973.||bolting.|Early Fortune x Emerson Pascal.
Grande (60-13-68A)|Keystone Seed Co.|Keystone Seed Co.|open pollinated.|Tall Utah 52-70 R strain.|California coast. 1981.|fusarium oxysporum appii, boron deficiency.|selection out of Tall Utah 50-70 R.
Green Bay (XP-166)|Pybas Vegetable Seed Co.|Pybas Vegetable Seed Co.|tall, dark green plant, suitable for mid season processing and for early and late fresh market; compact bunch, upright, petioles moderately smooth.||Michigan, Wisconsin, midwestern U.S. 1997.|fusarium yellows race 2, suckering; moderate for bolting.|UC1.
Green Giant||American Takii.|hybrid, early harvest, medium tall, upright, medium green color, petioles of moderate length and width.||||
Green Light|Joseph Harris Company, Rochester, New York.|Joseph Harris Company, Rochester, New York.|numerous, long petioles and blocky at base of stalk.|52-70.|northern United States. Harris catalog, 1956.||
Green Light Tall Strain|Joseph Harris and Co.|Joseph Harris and Co.|tall erect with many medium sized petioles, bolts easily under early spring or cool planting.|Green Light.|northeast and east coast of the United States. Harris Catalog, 1958.||selection from Green Light.
Hercules (FM 1218)|L. Gautney.|Ferry-Morse.|good uniformity and petiole length, earlier than Tall Utah 52-75 and has a darker green, longer and wider petioles.|Deacon. 1989.|||
Holiday|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|stems good quality, tinted pink to red, stronger flavor.||wide. Ferry-Morse Seed Company list. 1961.||Summer Pascal x Red.
Matador||Pybas Vegetable Seed.|Tall Utah type, smooth petioles, moderate bolting, medium green color, good replacement for T.U. 52-70R.|||fusarium yellows race 2. 1990.|
Michigan State Green Gold|Michigan State College, East Lansing.|Grand Rapids Growers.|light green, erect, taller and less brittle than Pascal types, quick blanching, tall, erect habit favors blight escaping.|||fusarium yellows. Michigan Quart. Bul. February. 1951.|Michigan Golden x Fordhook.
Pacifica (PSP 003)|B. Briggs.|Pacific.|processor type, very dark green petiole, very good flavor very few secondary petioles, 18' stalks, good for dehydrating.|Camlynn celery. 1990.|||
Pascal 259-19|Ferry-Morse Seed Company, Detroit.|Ferry-Morse Seed Company, Detroit.|ribs 9-10' long, smooth, rounded; good rib count; dark green, taller plants than Summer Pascal, larger sizes.|Summer Pascal.|wide. Ferry-Morse Seed Company Des. List, 1956. 1954.||single plant selection from Summer Pascal.
Pascal 284|Colorado Agric. Expt. Sta., Fort Collins, Colo.||tall, vigorous, uniform, large crown, dark green, fair storage type.|Giant Pascal.|Northern Colorado. Farm Bul. 3(3). 1945.|fusarium yellows.|Weirlich Short Pascal x Apels tall strain.
Peto 285||Petoseed.|Tall Utah type, good stalk length, thickness and petiole nesting, recommended for upper Midwest and Northwest.|||tolerant to fusarium race 2. 1993.|
