Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
A and C|Abbott & Cobb.|Hollar.|8' fruit length, 64 day maturity, green, stippling at blossom end, tapers at ends.|Davis Perfect. 1928.|||
A and C 1810 (ACX 1810)|Petoseed.|Abbott & Cobb.|uniform color, uniform size and shape, monoecious hybrid, heavy yield.|Poinsett 76. 1982.||scab, cucumber mosaic virus, powdery mildew, downy mildew, angular leaf spot, anthracnose.|
Abundance|home gardener near Rochester, New York.||fruit smooth, symmetrical, yellow green specks, dark green, 9-10 x 2-2.25' fruit, pickler, inbred.|Davis Perfect. 1916.|||
Adams|T. Lee Adams Co.||fruit dark blue-green to dull green, 9-10 x 2.25-2.5' fruit, pickler, monoecious, inbred.|Longfellow. 1926.|||
Addis (M11)|R.L. Lower, North Carolina State University, Raleigh.|Northrup King and numerous seed companies.|monoecious pickling inbred, dark green color, L/D 3.2, cylindrical fruit, slightly rounded ends, excellent processing quality.|SC 19B.|southeastern United States. 1976.|powdery mildew, downy mildew, anthracnose, angular leaf spot.|SC 19B, Pixie, North Carolina Agric. Expt. Sta. breeding lines.
Aladyn F1|Research Institute of Vegetable Crops, Poland.||fruit attractive, short, green, small seed size, pickler, monoecious hybrid.|||anthracnose, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Alba 74 (XPH 1274)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, very high yielding, slicer, Beit Alpha type, long smooth fruit.|Damascus. 1981.|||Michigan Agric. Expt. Sta. and Asgrow inbreds.
Albion|H. Munger, Cornell University.||powdery mildew resistance backcrossed into SR 551.|SR 551.|||
Albion 87|H. Munger, Cornell University.||target leaf spot resistance backcrossed into Albion.|SR 551.|||
Alexander (Sun 3504)|Sunseeds.|Sunseeds.|slightly tapered, dark green, white spined, machine or hand harvest, pickler, gynoecious hybrid, 5.37' fruit length, vine determinate.|||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Alice (Dessert no. 4)|Dessert Seed Co.|Dessert Seed Co.|high yielding, light colored fruit, pickler.|Wisconsin SMR 18.|northern areas. 1968.|scab, cucumber mosaic virus.|Gy 3 x MSU 7.
All Season|||early gynoecious slicer, 49 days to harvest. 1996.||||
Allgreen|Joseph Harris Co.|Joseph Harris Co.|hybrid, white spined, uniform green, non-stippling fruit, gynoecious, slicer.|Meridian.|northern United States. 1971.|scab, cucumber mosaic virus.|
Alpha Green||Nat. Seed Storage Lab.|inbred.||||
Alpha Plus (002515)|D. Croker.|Petoseed.|open field, gynoecious, dark green 1 x 6' fruit, sweet taste, middle eastern slicer.|Babylon, Beit Alpha.||powdery mildew, cucumber mosaic virus, downy mildew.|
Amir|Nunhems.|Nunhems.|gynoecious, parthenocarpic, dark green ribbed cylindrical fruit 16-17 cm long.|||powdery mildew. 1992.|
Amira|Petoseed.|Petoseed.|smooth skin, middle eastern slicer, medium green, gynoecious, 5' fruit length, extremely productive, very good taste, 54 day maturity.|Beit Alpha. 1992.||downy mildew, powdery mildew, cucumber mosaic virus.|
Aodai-Nazare|Asgrow.|Asgrow.|Large vines and fruit, white spined, slicer, monoecious, inbred.||||
Apple Shape Lemon||Nat. Seed Storage Lab.|hermaphroditic, inbred, garden novelty, round yellow fruit with 5 carpels.|Lemon.|||
Arabian (XP 1914)|B. Johnson.|Seminis Vegetable Seeds, Asgrow Brand.|hybrid pickling type; medium dark green color, short vine, LD 3.05 to 3.1, hand or machine harvest.||U.S. 1999.|none claimed.|F1 hybrid.
Aria|||bitterfree, thin skinned, short slicer, 4-6' fruit length, non-robust vines. 1996.||||
Arkansas Little Leaf (H-19)|University of Arkansas.|Petoseed.|monoecious inbred pickler; fruit white spined, medium green color, parthenocarpic, L/D 2.95, littleleaf type, 62 day maturity, vigorous multi-branched vines.||wide. PVP.|anthracnose, angular leaf spot, downy mildew, cucumber mosaic virus.|
Arlington White Spine|W.W. Rawson,|D.M. Ferry and Co.|fruit straight, medium light green, broad tip stripes, 7-7.5 x 2.5-2.75' fruit, slicer, monoecious, inbred. 1886.||||
Armada (PS 20580)|Petoseed.|Petoseed.|pickler, 53-54 day maturity, gynoecious, L/D 3.15, dark green, high yielding processor, white spined, vine vigorous, excellent brining.|||scab, anthracnose, angular leaf spot, downy mildew, powdery mildew. 1985.|
Armour (Ottawa 1)|Canada Department of Agr.|Similar:|good dark color that holds well.|Resistance: scab, cucumber mosaic virus.|areas where scab is prevalent. Canada J. Plant Science, 1965. 1965.|Branch, Ottawa Research Sta., Ottawa.|Highmoor x Niagara.
Armstrong Early Cluster|||early flowering, round fruit, monoecious, inbred.||||
Ashe (N.C. 6)|North Carolina State College, Raleigh.||monoecious slicer inbred.|Ashley. 1959.||scab, downy mildew.|Highmoor, Palmetto, SC 14, Ashley, with five backcrosses to Ashley.
Characteristics: early, medium vine growth, medium size, darker green fruits than other cultivars of the time.|Adaptation: southern United States and possibly other areas. Seedsmans Digest February, 1955. 1956.|Similar.|Breeder: South Carolina Truck Expt. Sta., Charleston.|Resistance: downy mildew.|Marketer cultivar.|Parentage: breeding lines that include Puerto Rico 40 and Marketer.|Name: Ashley
Asian Nectar||W. Atlee Burpee.|slicing type. 1999.||||
Astor (E0205)|L. Gautney.|Ferry-Morse.|fine spined, European, pickler hybrid.|||scab, cucumber mosaic virus. 1983.|
Atlantic (603)|Agway.|Agway.|hybrid, gynoecious, slicer, good holding ability.|Gemini.|northeastern United States. Agway Catalog, 1970. 1970.|scab, cucumber mosaic virus, anthracnose.|Gy 57 seed parent.
Atlantis (HMX 2464)|Harris Moran Seed Co.|Harris Moran Seed Co.|long fruited gynoecious hybrid pickling type, LD 3.2 to 3.4, mid-early maturity, somewhat reduced vine length.|||scab, anthracnose, angular leafspot, powdery mildew, downy mildew.|Harris Moran inbreds.
Aurora (ARCO 699)|A. Gabert.|ARCO.|F1 hybrid, indeterminate vine, uniform fruit shape, white spined, good fruit color, small seed cell, late seed development, L/D 3.0.|Calico.|Texas, Florida, North Carolina, Michigan. 1985.|scab, cucumber mosaic virus, angular leaf spot, powdery mildew, downy mildew, anthracnose.|ARCO seed parent 559 x NCSU pollen parent Clinton.
Babylon (PS 30785)|K. Owens.|Petoseed.|gynoecious hybrid, middle eastern slicer, dark green fruit 6.5 x 1' size, glossy ribbed fruit skin, very early, high yielding.|Beit Alpha.||powdery mildew, downy mildew, cucumber mosaic virus.|
Banquet (XPH 1619)|Asgrow.|Asgrow.|monoecious hybrid, dark green fruit.|Calypso. 1989.||major cuke disease.|
Baron (HMX 6466)|Harris Moran.|Harris Moran.|excellent color, attractive shape, high packout.|Royal.||scab, powdery mildew, cucumber mosaic virus, anthracnose, downy mildew.|
Barteldes|Barteldes.||fruit dark green, dark green, yellow green specks, 10-12 x 2.5-3' fruit, slicer, monoecious hybrid.|Longfellow. 1925.|||
Beauty|Hollar and Co.|Hollar and Co.|F1 hybrid, gynoecious, parthenocarpic, designed for greenhouse use only, 13' fruit length.|Pepinex, Corona, Deleva. 1983.|||
Beit Alpha||Dessert Seed Co.|cylindrical fruit with slight taper, black spines, glossy green skin; middle eastern slicer, 55 day maturity, 6 x 2' fruit.|||cucumber mosaic virus.|
Beit Alpha MR|||cylindrical fruit with slight taper, black spines, glossy green skin; middle eastern slicer, 55 day maturity, 6 x 2' fruit.|Beit Alpha.||cucumber mosaic virus.|
Beit Alpha Smooth MR|ARCO.|ARCO.|black spined, middle eastern slicer, inbred, 6 x 2' fruit, glossy green, tender skin.|Beit Alpha.||cucumber mosaic virus.|
Bella|Nunhems.|Canners.|gynoecious hybrid greenhouse slicer, extra long fruit.|Sandra.||powdery mildew, downy mildew.|
Belle Aire (XP69-18)|Agway.|Agway.|hybrid, white spined, early prolific, gynoecious, slicer, dark skinned fruit.|Poinsett.|northeastern United States. Agway Veg. Seed Catalog, 1972. 1972.|scab, cucumber mosaic virus, anthracnose, alternaria, powdery mildew, downy mildew.|Tablegreen 68 x Poinsett.
Benson (XPH1651)|Asgrow.|Asgrow.|monoecious hybrid, dark green fruit, prolific staminate flower production to aid in pollinating of hybrids.|Magic. 1991.||anthracnose, scab, downy mildew.|
Black Diamond|Hollar.|Hollar.|monoecious, inbred.||||
Blitz (PSX 1479)|Petoseed.|Petoseed.|Semi-dwarf, small seedcell, medium green, white spined, pickler, gynoecious hybrid, L/D 3.0, vine vigorous, 51 day maturity.|||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus. 1984.|
Bonus (Harrow 78.05)|Agr. Canada.|Similar: Triplemech.|F1 hybrid, white spined, medium green, blunt blossom and stem end, strongly gynoecious, no brining defects.|Resistance: angular leaf spot, cucumber mosaic virus, scab.|wide. 1980.|Branch, Harrow. Ontario.|
Boston Pickling|Wood and Sons.|Wood and Sons.|fruit straight, dark green, tip stripes, 6-7 x 2.25-2.5' fruit, black spined, pickler, monoecious, inbred. 1880.||||
Bounty (XP 1025)|Asgrow Seed Co.|Asgrow Seed Co.|hybrid, high yielding, black spined, pickler, good L/D.|Pioneer.|general. Asgrow Catalog, 1971. 1970.|scab, mosaic, downy mildew.|Gy 3 x Asgrow line.
Bradley (Sun 3539)|Sunseeds.|Sunseeds.|blocky fruit, dark green, white spined, brines well, excellent yields of straight fruit, machine or hand harvest, hybrid pickle, L/D 3.0, determinate.|||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Bravo (43-52-6)|Petoseed Co.|Petoseed Co.|hybrid, white spined, high yield, good color, pickler.|Model.|southern, western United States. 1968.|tolerance to cucumber mosaic virus, downy mildew.|Gy 3 seed parent.
Brice|Burrell Seed.|Nat. Seed Storage Lab.|monoecious, inbred.||||
Brine Time (FMX 4447)|Dr. L. Gautney.|Ferry-Morse.|white spined, pickler hybrid, medium long vines, good yields, medium fruit color, good fruit length, L/D 3.0-3.2, brines well.|Score. 1987.||scab, anthracnose, cucumber mosaic virus, angular leaf spot.|
Briney (Hybrid Pickle 52)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1, slightly longer than Ferry-Morse Seed Company Hybrid 51, for processing, black spined, mostly gynoecious.|Wisconsin SMR 18.|general. Ferry-Morse Seed Company, 15 April 1963. 1963.|scab, cucumber mosaic virus.|Ferry-Morse Seed Company inbred x Wisconsin SMR 18.
Brooks (DEXP 377)|Dr. A. Gabert.|ARCO.|medium dark green fruit, white spined, L/D 2.8-2.9, small seedcell, firm flesh, 52 day maturity, straight, blocky, machine or hand harvest, pickler.|Calico. 1984.||cucumber mosaic virus, angular leaf spot, powdery mildew, downy mildew, anthracnose, scab.|
Bugre (PS 72595)|Wei Ouyang.|Seminis Vegetable Seeds, Petoseed Brand.|predominantly gynoecious, early Caipiras type, strong vine, good fruit, fruit size 50 x 160 mm.|Safira.|Brazil. 1999.|downy mildew, powdery mildew, angular leafspot, cucumber mosaic virus.|F1 hybrid.
Burpee Hybrid|W. Atlee Burpee Company, Philadelphia.|W. Atlee Burpee Company, Philadelphia.|F1, very vigorous, fruits medium long, cylindrical, rounded both ends.|Cubit.|wide. Burpee catalog, 1945. 1945.|cucumber mosaic virus, downy mildew.|closed.
Burpee Hybrid II|W. Atlee Burpee Co.|W. Atlee Burpee Co.|F1 hybrid, earlier and more productive than Burpee Hybrid, slightly longer fruit.|Burpee Hybrid.|wide. 1984.|cucumber mosaic virus, downy mildew.|
Burpee Pickler|W. Atlee Burpee Company, Philadelphia 32 Philadelphia|W. Atlee Burpee Company, Philadelphia 32 Philadelphia|productive, black spined, blocky shape, heavy yield, attractive fruit.|National Pickling.|wide. Burpee catalog, 1957. 1957.|tolerance to cucumber mosaic virus.|F2 of a closed-formula hybrid:
Burpeeana Burpless|W. Atlee Burpee and Co.|W. Atlee Burpee and Co.|||||
Burpeeana Hybrid|W. Atlee Burpee Company, Philadelphia 32 Philadelphia|W. Atlee Burpee Company, Philadelphia 32 Philadelphia|F1, early, prolific, long cylindrical fruit, very dark green color, absence of speckling.||wide. Burpee catalog, 1959.||closed.
