Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Acoma Rattle||Native Seeds, Search.|small discoid fruit measuring 4' long x 8' diameter; from Acoma Pueblo, New Mexico. 1994.||||
Apple (African Square, Big Apple)|Rocky Ford Gourds.|MarketMore.|apple-shaped, green mottled fruit measuring 6' diameter. 1999.||||
Banana|||narrow cylindrical, club shaped fruit up to 8' long. American Gourd Society's The Gourd, 1994.||||
Basket, Hollar|Hollar.|Rupp Seeds.|similar to Bushel Basket but with smaller fruit, 120 day maturity. 2000.||||
Basketball|||6-10' diameter spherical fruit. American Gourd Society, 1994.||||
Birdhouse (Purple Martin House, Bird's Nest)|||large bilobal with slender neck, thick rind, large blossom end bowl, 8-14' diameter, suitable for making birdhouse, 95-120 day maturity. Whitaker and Davis's Cucurbits, 1962.||||
Blow Gun Kapok (Cofan Kapok)||Seed Saver's Exchange.|fruit 6' long with a 3-4' bowl, 150 day maturity; from Cofan people of the Amazon. 1996.||||
Bottle (Common Bottle, Pilgrim, Dumbbell)||Vilmorin.|bilobal fruit up to 18' long with the two unequal bowls separated by a constricted neck, the larger blossom end bowl contains the seeds. Burr, 1865.||||
Bottle, Baby||Holmes Seed Co.|uniform bilobal shaped fruit measuring 2' wide x 4' long.|Miniature Bottle.|curing in dry storage takes several months. 2000.||
Bottle, Black Seeded||Nichol's.|dipper shaped fruit measuring 12' long with a 5' long bowl measuring 7' wide and a 7' long neck measuring 2' wide, seeds almost black. 1990.||||
Bottle, Chinese||Seed Saver's Exchange.|small bilobal, 5' diameter blossom end bowl, 100-110 day maturity. 1996.||||
Bottle, Indonesian||Seed Saver's Exchange.|12-15' long bilobal with distinct elongated neck, stem end bowl 3-4' diameter & blossom end bowl 10-15' diameter; from Bali, Indonesia. 1996.||||
Bottle, Large||DeGiorgi.|bilobal with large blossom end bowl up to 14' diameter. 1985.||||
Bottle, Mexican|||12' or more long bilobal, smaller stem end bowl topped with a nipple. American Gourd Society, 1994.||||
Bottle, Miniature||Seed Saver's Exchange.|small bilobal, 1.5-6' long; used as baby rattle in Southeast Asia. 1996.||||
Bottle, Sennari (Sennari)|||small bilobal, 2-6' long, the smaller stem end bowl topped with a nipple; used as sake container in Japan. American Gourd Society, 1994.||||
Bushel (Bushel Basket)||Gleckler's.|large round, though usually wider than long, to somewhat conical fruit up to 24' diameter and 100 lb.|African Giant. 1993.||insects.|
Cannonball|||small spherical fruit, 2.5-4' diameter. American Gourd Society, 1994.||||
Cheese||Seed Saver's Exchange.|fruit shaped like cheese squash. 1996.||||
Cheese Gourd||Seed Savers.|flat, discoid fruit with 10 shallow grooves measuring 7' wide x 5' long, flesh orange. 1992.||||USDA.
Chinese Water Jug (Giant Bottle, Water Jug)||Stokes.|fruit with a 9-10' diameter bowl, 14-16' neck, very thick rind. 1995.||||
Club (Clavata, Hercules Club, Trumpet)|||long cylindrical fruit which slowly enlarges towards the blossom end, where it is about twice as large in diameter as it is at stem end. Naudin's Annales des Sciences Naturelles, 1859.||||
Corsican Flat (Courge Plate de Corse, Flat, Canteen, Bowl, Sugar Bowl)||Vilmorin.|conical to discoid fruit, measuring 3-4' long x 6-15' diameter. 1883.||||
Cow Leg|||high resistance to viruses; from Taiwan. Cucurbit Genetics Cooperative Report, 1995.||||
Dipper (Siphon, Retort)||Vilmorin.|fruit with swollen blossom end, 8-12' diameter, thin elongated neck, rind thick and hard. Burr, 1865.||||
Dipper, Apache||Native Seeds, Search.|dipper shaped fruit with neck to 1' long; from Apache tribe in Arizona. 1994.||||
Dipper, Extra Long Handled|||dipper shaped fruit with thin neck 4-6' long. Summit's Gourds in Your Garden, 1998.||||
Dipper, Long Handled||Gleckler's.|dipper shaped fruit with thin neck 3-4' long, bowl 4-8' diameter. 1993.||||
Dipper, Miniature||Seed Saver's Exchange.|dipper shaped fruit with neck 4-6' long, bowl 2-3' diameter. 1996.||||
Dipper, O'odham||Native Seeds, Search.|dipper shaped fruit measuring 8-18' long; from Tohono O'odham Nation at Topawa. 1996.||||
Dipper, Santo Domingo||Native Seeds, Search.|short handled dipper with medium to large bowl; from Santo Domingo tribe, New Mexico. 1994.||||
Dipper, Short Handled|||dipper shaped fruit with relatively thick neck measuring about 8' long. Summit, 1998.||||
Dipper, South Seas Island|||dipper shaped fruit with neck 16' long, bowl 6' diameter, rind green with white spots. 1988.||||
Dipper, Tarahumara||Native Seeds, Search.|dipper shaped fruit. 2000.||||from Barranca del Cobre, Mexico.
Early Green Long||Sunrise.|club shaped fruit, 1.5' long x 3-5' diameter, eaten young; from China. 1987.||||
Extra Long|||fruit 30' to 3' long x 3' wide, flesh thick and tender; from southeast Asia. Facciola, 1990.||||
Giant African Water Bottle||Seed Savers.|24' tall fruit with swollen blossom end measuring 9' diameter and elongated neck measuring about 2' thick. 1991.||||
Gooseneck, SSE||Seed Savers.|elongated fruit measuring 22' long with a thin neck and blossom end that gradually enlarges to 6' wide. 1999.||||
Hahre-hawan|||ovoid medium sized fruit, thin pale green rind streaked with white. Naudin, 1859.||||
Hawaiian Mask (Hawaiian Ipu Nui)|||large 12' bowl with a 6' stem end neck; old type from Hawaii. Whitaker & Davis, 1962.||||
Hopi Rattle||Seeds of Change.|small to medium sized discoid fruit measuring 3' long x 3-6' diameter; used as rattle since ancient times by Hopi tribe in Arizona. 1993.||||
Japanese Long (Japanese Bottle Siphon)||Seed Saver's Exchange.|cylindrical fruit, 18'-6' long, with slight bulbs at each end; from Japan. 1996.||||
Japanese Round Basket (Japanese Round)||Seed Saver's Exchange.|similar to Kettle but more elongated, 18' long x 12-14' diameter.|Kettle. 1996.|||
Kampyo (Y√ªgao)|||club shaped fruit from which the Japanese prepare dried gourd shavings. Facciola, 1990.||||
