Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
504 Green (Lettuce MI)|D. Mitchell.|Seminis Vegetable Seeds-Genecorp.|Greenleaf with bright glossy green color.|no cultivar like it.|Yuma Arizona, coastal and Huron California. 1997.|none listed.|open pollinated.
Acacia|Select Seed of California.|Petoseed.|crisphead type, large frame and head, medium leaf thickness, dark green color, flat ribs, black seed.|Empire. 1984.||bolting, tipburn, pink rib; tolerance to heat and frost.|
Acclaim|Orsetti Seed Company, Inc.|Orsetti Seed Company, Inc.|||||open pollinated.
Acropolis (SSC 1501)|Shamrock Seed Co.|Shamrock Seed Co.|sure-heading, hot season cultivar with remarkable uniformity and consistent performance; produces large, dark green plant frames that provide good head protection; reliably makes large, flattened-round heads with a very smooth shape; large size and thick, crisp texture ensure high yields; very good internal quality.||Imperial Valley, California, Yuma, Arizona. 2004.|tipburn and bolting tolerance.|open pollinated.
Admiral Cos (G x 811))|Jodi Grossen.|Seminis Vegetable Seeds-Genecorp.|very dark colored Romaine with smooth leaf, large size, wide girth.|Darkland Cos.|coastal California and San Joaquin Valley. 1999.||open pollinated.
Alamo|University California, Davis.|USDA and University California, Davis.|crisphead type, larger than Empire and Winterhaven, firm, good color, darker green than Winterhaven, large core, attractive butt, seedstalk is low, white seed, no tipburn observed.|||russet spotting, downy mildew. 1978.|contains PI 91532 a downy mildew resistant Lactuca serriola introduction from Russia.
Alaska|Plant Industry Sta., USDA, Beltsville, Md.||very large, dark green, slow bolting, crisp head.|Great Lakes.|Alaska.|tipburn and anthracnose in Alaska.|a complex hybrid.
Allegiance (SSC 30390)|Shamrock Seed Co.|Shamrock Seed Co.||Baja.|California, Arizona, and butter lettuce production regions. 1999.|downy mildew.|
Alpi|Nunhems.|Nunhems.|cos type, dark green, crispy, upright leaves, firm heads well closed, vigorous, very uniform. 1991.||||
Amaral 78|Quali-Sel, Inc.|Quali-Sel, Inc.|open pollinated; glossy green wrapper leaves and dark butt color.|Salinas.|California. PVP Certificate No. 7800082. 1979.|none claimed.|
Amaral 400|Quali-Sel, Inc.|Quali-Sel, Inc.|open pollinated; uniformity for heading and bolt tolerance, white seed and firm texture.|Salinas.|California. PVP Certificate No. 7800083. 1979.|none claimed.|
Amarillo (GX 106)|Jody Grossen.|Seminis-Genecorp.|large size butter head, medium to light green color, smooth leaf surface, good bolt tolerance.|Esmeralda.|California. 2000.|downy mildew 1-16.|open pollinated.
Amathus|Petoseed.|Petoseed.|cos type, dark green with large frame, closed heads, good color, slow bolting, white seed.|Parris Island Cos. 1991.|||
Amazon (HMS 7550)|Philip Sarreal.|Harris Moran Seed Co.|very vigorous frame; large heavy head, dark green butterhead type.|Tania.|coastal and desert California; Yuma, Arizona. 2000.|downy mildew pathotypes 1, 2, and 3; LMV.|open pollinated.
Andros|Asgrow.|Asgrow.|crisphead type, erect with dark green, blistered leaves.|Valmaine. 1988.||downy mildew.|
Annapolis (SSC 1332)|Shamrock Seed Co.|Shamrock Seed Co.|red romaine type developed for baby leaf salads; glossy, deep wine-red color; medium-broad, club shaped leaf with slightly wavy leaf margins and light serration along the stem; slightly blistered at the 4th true leaf; pliable texture.|Infantry.|U.S. lettuce growing regions. 2004.|downy mildew (pathotypes I, IIA, IIB, III, IV, V).|open pollinated.
Annie|Asgrow.|Asgrow.|crisphead type, excellent green color and leaf texture, good heading ability.|Early Giant, Vanguard. 1993.|||
Anthem (SSC 30380)|Shamrock Seed Co.|Shamrock Seed Co.||Baja.|California, Arizona, and butter lettuce production regions. 1999.|downy mildew.|open pollinated.
Anuenue|Veg. Crops Dept., Univ. of Hawaii, Honolulu.||forms a 1 pound or more head in low elevations in Hawaii; superior to Great Lakes in quality.|Manoa (Green Mignonette).|lowland conditions in Hawaii. 1954.|tipburn, early bolting.|Manoa x Great Lakes 1-14-5-2.
Anza|University California, Davis.|USDA and University California, Davis.|crisphead type, head size smaller than 24, firm, good color, large core, flat butt, very low seedstalk, white seed.|||downy mildew, moderately susceptible to russet spotting. 1978.|
Aquarius|Sakata.|Sakata.|butterhead type, semi-loose head.|Boston. 1990.|||
Arizona 44|Univ. of Arizona, Tucson.|Arizona Crop Improvement Assn. and the Blalack Seed Co.|all characters more uniform, higher yield, slightly earlier.|Imperial 44.|southwest United States. Progressive Agr. V.2. 1953.|brown blight, and bolting.|Imperial 44 selection.
Arizona 90|Central Valley Seeds.|Central Valley Seeds.|crisphead type, matures 2-3 days earlier than Winterhaven, large frame and head, leaf thicker than Climax, leaf color darker than Vanguard 75, large slightly pointed butt, very smooth ribs, black seed.|Vanguard. 1991.||pink rib, tipburn; tolerance to heat and frost.|
Arizona 152|Univ. of Arizona, Tucson.|Arizona Crop Improvement Assn.|large, uniform and good color.|Imperial 152.|southwestern United States. Progressive Agr. V.2.|brown blight.|Imperial 152 selection.
Arizona 615|Univ. of Arizona, Tucson.|Arizona Crop Improvement Assn., and the Blalack Seed Co.|uniform in size, shape, and maturity, high yield.|Imperial 615.|southwestern United States. Progressive Agr. V.2. 1953.|brown blight.|Imperial 615 selection.
Armada (SSC 30352)|Shamrock Seed Co.|Shamrock Seed Co.||Red Salad Bowl.|all lettuce production regions. 1999.|downy mildew.|open pollinated.
Artillery (SSC 30421)|Shamrock Seed Co.|Shamrock Seed Co.|light green colored Salad Bowl type; smooth textured and highly undulated leaves; developed for production as a baby leaf component in spring mix salads; suited for organic and conventional productions.|Standard Green Oak Leaf.|U.S. lettuce production regions. 2001.|downy mildew resistance (pathotypes I, IIA, IIB, III, IV and V).|open pollinated.
Athena (29705)|Enza Zaden.|Enza Zaden.|||North America. 1997.||open pollinated.
Augustus|Petoseed.|Petoseed.|cos type, excellent uniformity, medium green head, large thick slightly savoyed leaves.|||lettuce mosaic virus, tipburn, corky root rot. 1990.|
Autumn Gold|E.J. Ryder.|USDA, ARS; Salinas, California.|crisphead type, Vanguard x Empire, large frame and head, thick, bright green leaves, large rounded butt, better head shape than Empire, less spiraling, fewer pointed butts, tendency to be somewhat ribby, black seed.|Vanguard. 1987.||bolting, tipburn, mosaic, tolerance to heat.|
Bacardi|Enza Zaden.|Enza Zaden.|||||
Badger (GS 6598531)|Seminis Vegetable Seeds-Genecorp.|Seminis Vegetable Seeds-Genecorp.|Vanguard type iceberg with medium color, good weight and texture; this variety is vigorous and sure heading; ideally suited for the late Merit slot (sowing dates 9/28 to 10/15).|Desert Storm.|NAFTA - Desert Southwest. 2002.||open pollinated.
Ballon|Vilmorin.|Cook's Garden.|large, pale European romaine, fine textured and heat tolerant.|Eiffel Tower. 1883.|||
Barnburner|Asgrow.|Asgrow.|crisphead type, large frame and head, good heading ability, dark green.|Red Coach 74. 1993.|||
Batallion (SSC 30422)|Shamrock Seed Co., Inc.|Shamrock Seed Co., Inc.|a triple red Lollo Rossa that produces dark, maroon colored leaves with very frilly leaf margins; an excellent component in baby leaf salds; downy mildew resistance (pathotypes I, IIA, IIB, III, IV, V).|Mercury.|all U.S. lettuce growing regions. PVP: none. 1999.|downy mildew.|open pollinated.
Bazooka (E28514)|Enza Zaden.|Enza Zaden.|Iceberg lettuce.|||downy mildew races 1-16. 1999.|open pollinated.
Bellagreen|Dr. G. Emery.|Ferry-Morse.|leaf type, uniform in growth and maturity, smooth dark leaves, very attractive glossy color, distinctly more vigorous than Dark Green Boston.|Dark Green Boston. PVP. 1988.|||
Bellaverde Great Lakes|Waldo Rohnert Co., Gilroy, Calif.|Waldo Rohnert Co., Gilroy, Calif.|extra dark-green color, non-bolting.|Great Lakes.|western areas. 1957.||Great Lakes.
Beretta (SSC 1121)|Shamrock Seed Co.|Shamrock Seed Co.|romaine type with consistent performance over a wide range of growing conditions in coastal California and the desert southwest; produces large, dark green plants with an upright structure; leaves have faint blistering, smooth margins and no tendency to cup; plants are 12.5-13 inches tall and weigh 1.75 lb; highly tolerant to tipburn; ideal for prepared salads, carton pack and whole leaf products.||U.S. lettuce production regions. PVP. 2003.||open pollinated.
Billabong (XP 9200037)|Tom McBride.|Seminis Vegetable Seeds-Asgrow.|export quality Iceberg, very uniform, high quality heads with smooth well rounded heads and small core.|Top Gun.|Salinas Valley California. 1999.|CRR.|open pollinated.
Bismark|Asgrow.|Asgrow.|early winter harvest in the desert southwest, good heading ability, improved size and leaf texture.|Early Giant. 1994.|||
Bix (XP 5228)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated; uniform, with small core.|Salinas.|Coastal growing areas of California. 1986.||
Blockbuster (SSC 1370)|Shamrock Seed Co.|Shamrock Seed Co.|vigorous, Salinas type for early season; consistent production of large, heavy heads with a full-round, symmetrical shape; heads have medium-large butt, short core and flat ribs; its large, bright green plant frame offers excellent head protection.|Pacific.|all lettuce growing regions. PVP pending. 2004.|big vein.|open pollinated.
Blonde Romaine (XP-515)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated; very slow bolting Romaine type for summer and fall culture.|Blonde Lent.|wide. 1980.|none claimed.|
Blonde Romaine 79 (XP 4004)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated; slow bolting Romaine type for summer and fall culture.|Paris Island Cos.|wide. PVP. 1980.|none claimed.|
Blush|W. Waycott and E.J. Ryder.|USDA, ARS; Salinas, California.|crisphead type, mini-size, dull, dark green outer leaves slightly darker than Salinas parent, soft texture, leaf surface blistered, green pigment close to core, creamy yellow interior, tinge of red on the outer leaves, spherical to slightly flattened head, flat butt and ribs, small core, bases of leaves overlap well, black seed.|||less prone to tipburn; susceptible to lettuce mosaic, cucumber mosaic, turnip mosaic, big vein, corky root rot, Sclerotinia. 1992.|
Bonanza|Asgrow.|Asgrow.|crisphead type, large, adapted to early planting periods in the coastal areas of California, gray-green color with round heads, good cap leaf coverage.|Pacific, Salinas. 1991.||big vein.|
Brave Heart (PS 4837)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|Romaine, tall, compact, either for normal harvest or hearts.|Gladiator.|United States. 2001.|none claimed.|F1 hybrid.
Brigade (SSC 30382)|Shamrock Seed Co.|Shamrock Seed Co.||Little Gem.|all lettuce production regions. 1999.|downy mildew.|open pollinated.
Bronco|Coastal.|Coastal.|crisphead type, large frame and head, moderate ribs, black seed.|Salinas. 1994.||downy mildew California pathovars 1, 2A, 3; corky root.|
Bronze Beauty|Germain's, Los Angeles.|Germain's, Los Angeles.|a leaf lettuce with long narrow leaves, margins deeply lobed and scalloped, light-green color overlaid with warm ruddy bronze sheen; produces compact plants.|Oak Leaf.|wide. 1947.||unknown.
Brune d'Hiver||Cook's Garden.|hardy, delicately bronzed pale green.|Rouge d'Hiver, Butterhead. 1865.|||
Bubba (XP 559)|Seminis Vegetable Seeds-Asgrow.|Seminis Vegetable Seeds-Asgrow.|Iceberg lettuce of Vanguard type adapted for late winter production; has a large frame and head size and medium green color when compared to Kofa; planting schedule: Yuma in October or November; Huron in November. PVP #980003. 2003.||||open pollinated.
Bullet (GX 820)|Jodi Grosser.|Seminis-Genecorp.|Romaine, medium size, dark green colored leaves, leaf surface moderately blistered.|PIC.|west coast and southwest U.S. 1999.||open pollinated.
Bullseye|Petoseed.|Petoseed.|crisphead type, medium green, very firm head, smooth butt.|||tipburn; downy mildew California pathotypes 1, 2, 3. 1990.|
Burbank Fancy Blend|W. Atlee Burpee and Co. 1999|W. Atlee Burpee and Co. 1999|||||
Burgandy Ice|W. Atlee Burpee and Co. 1999.|W. Atlee Burpee and Co. 1999.|||||
