Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
18 Day||Gourmet Gardener.|old OP with red roots and white tips, 18 days; imported from France.||||
Altaglobe||Chriseed.|medium top radish, Bright Cherry Belle root color.||muck soils, performs well in Pacific coastal regions. PVP. 1996.|pithiness, tolerant to fusarium yellows, Rhizoctonia scurf.|
Ball Cross|Breeder and|Takii.|giant ball type with green neck, 15-16 cm diameter, 60-day maturity, late fall crop.|||high tolerance to viruses, strong heat and cold tolerance.|
Belle Glade (HXP 3763)|H. Humaydan.|Harris Moran Seed Co.|open pollinated, a bright red globe radish, tops are medium-tall refined red globe radish, more tolerance to high/low temperature than existing cultivars, performs best on low pH soils and in high and low temperatures.|Fancy Red.|Florida. PVP 8600048. 1985.|fusarium yellows; tolerance to black root/black scurf.|
Black Spanish Round||Ornamental Edibles.|large 3-4' deep black skinned globe with a crisp pure white interior and relatively mild flavor, 53-80 day maturity.||||
Brightest Breakfast||Heirloom Seeds.|scarlet red with white tip, mild and sweet, oblong, 1 1/2 to 2', 28 days.||||
Buccaneer|Associated Seed Growers, New Haven, Connecticut.|Associated Seed Growers, New Haven, Connecticut.|uniform globe type with excellent external color.|Early Scarlet Globe.|wide. 1952.||Cavalier.
Burpee White|W. Atlee Burpee Company, Philadelphia.|W. Atlee Burpee Company, Philadelphia.|sweet mild flavor, flattened globe shape, medium-tall foliage, pure white skin and flesh.|Philadelphia White Box.|wide. Burpee Catalog, 1947.||inbreeding of Chinese cultivar to improve uniformity.
Cabernet (NVH3301)|Rogers Brothers.|Rogers Brothers.|hybrid red globe-tall globe, 21-23 day maturity, lush hardy tops, uniform shape, deep red color, good for bunching and cello-paks.|Rave, Cherriette. 1992.||club root; tolerance to Rhizoctonia scurf.|
Ceres||Enza Zaden.|easy and fast growing cultivar, excellent deep red color with strong green top foliage and strong cotyledons.||winter sowing.||
Champion||Various.|Vigorous, large tops, deep scarlet, globe-shaped, very firm and stands well without becoming pithy, 20-25 day maturity. Good shipper.|Crimson Giant.|||
Cherriette|Sakata Seed.|Sakata Seed.|early Cherry Belle type hybrid, red root color, globe-round shape, excellent for bunching, slow to develop pithiness, very crisp with good flavor.||wide, but especially good for autumn production in temperate climates. 1987.||
Cherry Belle||Various.|AAS Winner, bright cherry red, round to globe-shaped, flesh is crystal white, crisp, and mild, with short tops, earlier than Comet, widely used for bunching and forcing.||||
