Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Alabrowneye|Alabama Polytechnic Institute, Auburn.|Farm Security agencies.|brown eye and three to five days earlier.|Virginia Blackeye.|central to northern Alabama. Southern Seedsman, August, 1938. 1944.||browneye selection from Virginia Blackeye.
Alabunch|Alabama Polytechnic Institute, Auburn.|Farm Security agencies.|tall, bunch plants with deep penetrating roots, peas ripen over short time, seeds white with brick or rust eyes.||southern United States. Southern Seedsman, August, 1938. 1944.|most common soil diseases.|field cross on Crowder.
Alacrowder|Alabama Polytechnic Institute, Auburn.||bunch to vining plant, large white crowder peas, black eyes, of excellent quality.||southern United States. Rural Alabama, January, 1945. 1946.||Blackeye x Crowder.
Alagreen Pinkeye|Auburn University, Auburn, AL.||erect, determinate growth habit with limited lateral vines; pods slightly curved, average 25 cm in length, slightly constricted about the seed, have a glossy surface, produce about 14 seeds per pod, and are borne concentrated above the plant; pod color is green when immature, changing to reddish-purple at the mature-green stage; the peas are kidney shaped, medium to large in size (18 to 24 g per 100 seed), have a persistent-green seed coat and a distinct, non-bleeding pink eye.||fresh-market use in Alabama. Ala. Agr. Expt. Sta. Res. Rpt. Ser. 11, p. 20. (April 1996).||not described.
Alalong|Alabama Polytechnic Institute, Auburn.|Alabama Polytechnic Institute, Auburn.|plants large, long pods with large white peas, brown eyes, shells well, high table quality, heavy yielder.||southern United States. Alabama, January, 1945. 1946.||seed from which cultivar developed obtained from scouting of farm plantings.
Arkansas Blackeye #1 (Arkansas 91-245)|University of Arkansas, Fayetteville, AR.||medium-sized bush (50 to 65 cm tall with no basal runners) that is well suited to conventional or narrow-row culture; matures 2 to 3 days earlier than Coronet and Pinkeye Purple Hull-BVR; pod set is concentrated and the pods are produced in the top of the plant on medium-length peduncles; pods are silver in color, 20 to 25 cm long, and shell easily; seeds have a distinct, medium-sized, black eye, and are similar in size, type, and eye pattern to seeds of California Blackeye No. 5; yield similar to the yields of the best pinkeye purple hull types; canned samples of harvested peas compare favorably to industry standards.||first blackeye-type southernpea to be released that is well adapted for commercial production in Arkansas. HortScience 30:821 (1995) and 31:626 (1996).||not described.
AUBe|Auburn University, Auburn, Alabama.||nonvining growth habit with pods borne level with or above the foliage; pods contain blackeye type peas, 62 day maturity; yields comparable to Pinkeye Purple Hull and better than California Blackeye 5.|||cowpea curculio and root knot nematodes, exhibits few virus symptoms; moderate to bacterial spot and root rots; susceptible to cercospora leaf spot. Alabama Agric. Expt. Sta., Highlights of Agricultural Research, Vol. 38, Number 3, Fall, 1991.|complex, involves Giant Blackeye, Conch, and Princess Anne Blackeye.
Bettergreen (US-592)|United States Vegetable Laboratory, ARS, USDA, Charleston, South Carolina.||phenotype, medium, bushy growth habit; typical pod is slightly curved and contains 12-14 peas; pod color at green shell stage, green with distinct purple shading; fresh peas are small, ovate-reniform in shape; dry peas have a smooth seed coat; can be harvested at near-dry seed maturity without loss of the seeds fresh green color, recommended as a commercial cultivar for the frozen-food industry.|Carolina Cream, except for cotyledon color and slightly greener foliage.|southern United States. HortScience 28:856, 1993. 1991.|cowpea curculio, cercospora leaf spot, southern blight, rust, and powdery mildew; tolerance to seedling diseases.|derived from a single mutant plant harvested from a Carolina Cream population, mutant plant homozygous for newly discovered gene (gt) conditioning a unique green cotyledon trait.
Bettergro Blackeye (US-481)|United States Vegetable Laboratory, ARS, USDA, Charleston, South Carolina.||tall, upright plant habit; pod set is concentrated; pod color at green shell stage is cream yellow with a touch of reddish shading and reddish tips; typical pod is slightly curved and contains 12-13 peas; size, shape, and eye pattern of peas similar to those characteristic of Pinkeye Purple Hull and Coronet; medium seed size, 15 g/100 dry seed; outstanding yield potential; excellent canner.||southern United States. HortScience 28:62-63, 1993. 1991.|cowpea curculio, root knot nematodes, rust, and powdery mildew; susceptible to blackeye cowpea mosaic virus.|Magnolia Blackeye x (Magnolia Blackeye x Ala.963.8).
Bettersnap|United States Vegetable Laboratory, ARS, USDA, Charleston, South Carolina.||high bush habit; concentrated pod set; typical pod is slightly curved, 27 cm long, and contains 16 peas; pod color at harvestable snap stage, dark green; high yield potential.||southern United States. HortScience 30:1318-1319, 1995. 1994.|root knot nematodes, blackeye cowpea mosaic virus, southern bean mosaic virus, cercospora leaf spot, and scab; susceptible to fusarium wilt.|product of backcross breeding program to transfer the Rk gene for root knot nematode resistance from Mississippi Cream into the edible-podded cultivar Snapea.
