Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
1402|Campbell Soup Co.|S.R.S., Modesto, Calif.|high yielding, large, firm fruit, small blossom scar; market and processing.||western United States. S.R.S. list. 1961.|verticillium and fusarium wilt.|
7718 VF (17573)|Petoseed.|Petoseed.|F1 hybrid, strong, determinate plants; large green-shouldered fruit; very productive if grown on poles and pruned.|6718 VF.|central and southern California. 1977.|verticillium and fusarium wilts (race 1).|
Abbie (136-10-J)|Rutgers Univ., New Brunswick, N.J.|Veg. Growers Assn. of New Jersey.|plant indeterminate, very vigorous, thick stems, large rugose leaves, fruit thick-walled, deep, small stem scar, smooth, crack-free; late maturity; gene for uniform ripening.|Jubilee.|mid-Atlantic United States. 1963.|fusarium wilt.|(Pan America x Jubilee) BC2 Jub. S10.
Acclaim (STM 2201)|Sakata.|Sakata.|F1 hybrid, fresh market tomato for commercial growers.|Jackpot. 1993.|||
Ace|Campbells Soup Co., Sacramento.|Campbells Soup Co., Sacramento.|uniform ripening, determinate, high color, large, smooth fruit, thick walls, soft core, pleasant flavor.||same as Rutgers. Seed World. 3 June 1953.||Rutgers, Victor, Garden State; a distinct cultivar.
Ace 55 (XP623)|Asgrow Seed Co.|Asgrow Seed Co.|early midseason dual purpose cultivar for shipping and processing.|Ace.|general. Asgrow 'Your Crops-What's New for '65', Fall 1964. 1965.|verticillium and fusarium wilts.|
Ace-Hy|Petoseed.|Petoseed.|F1 hybrid, determinate (sp) very large, uniform ripening (u).|Cal-Ace.|wide. 1977.|verticillium, fusarium (race 1), and nematodes.|
Action|Burgess Seed and Plant Co.|Burgess Seed and Plant Co.|F1 hybrid, determinate, red cherry.|Mini Red Cherry. Burgess Catalog. 1970.|||
Advance (39-4-36, STEP 667)|Missouri Agric. Expt. Sta., Columbia.|Missouri Agric. Expt. Sta., Columbia.|hybrid fresh market type with early-midseason maturity, determinate vine, ovate-globe fruit shape.||home gardens. Missouri Agric. Expt. Sta. Research Bulletin 1057. 1985.|fusarium wilt race 1, verticillium wilt race 1, nematodes, Sclerotium rolfsii, Septoria leaf spot.|Mo. P3229 x VFN8.
Advantage (MOX 3058)|Moran Seed.|Moran Seed.|open pollinated, medium late processing type; determinate vine with heavy set of large, firm, deep-lobed fruit; uniform ripening, jointless, high processing quality.||wide. 1982.|verticillium and fusarium (race 1).|
Affirm (STM 2102)|Sakata Seed America.|Sakata Seed America.|F1 hybrid, fresh market, large determinate, late season, deep oblate, firm good flavor, uniform shoulder.|||verticillium wilt race 1, fusarium wilt races 1 and 2, alternaria stem canker. 1995.|
Alberto (012690)|Petoseed.|Petoseed.|F1 hybrid, large deep oblate fruit, 10-12 oz, green shoulder, stake culture large determinate plant, 73 day maturity from transplant.|Beefsteak. 1995.||verticillium wilt race 1, fusarium wilt races 1 and 2, tobacco mosaic virus.|
All Star (PSXM 72482)|Petoseed.|Petoseed.|78 day maturity, large and extra large fruit, 7 oz, green shoulder, deep globe, smooth, firm, jointed, large determinate.|||verticillium wilt race 1, fusarium wilt races 1 and 2, alternaria stem canker, gray leaf spot. 1985.|
Allegro (XPH 5211)|Asgrow.|Asgrow.|early midseason maturing hybrid with high soluble solids, medium high viscosity, low pH, firm, round type, a compact vine requires less management.|H785. 1986.||verticillium wilt race 1, fusarium wilt races 1 and 2.|
Allred|North Dakota Agric. Expt. Sta., Fargo.||believed to be the first commercial cultivar with uniform color.|Bounty. 1937.|||uniform color line x Bison.
Alondra (E43515)|Enza Zaden.|Enza Zaden.|F1 hybrid, indeterminate fresh-market type.||Mexico. 1999.|bacterial spot.|
Alpine|Hort. Field Sta., USDA, Cheyenne, Wyo.||early maturity, high quality, high yield in F1 with Sioux and Cardinal.||northern Colorado and Wyoming. Mimeograph, USDA. 1949.||Red Currant, Danmark, and Early Baltimore.
Alta (CXD 100)|Campbell Soup Co.|Campbell Soup Co.|F1 hybrid, firm, midseason, square, processing type with compact vine.||California. 1985.|verticillium and fusarium race 1.|
Alta Royal (90-37)|Dessert's Cal Seed.|Dessert's Cal Seed.|F1 hybrid, dual purpose determinate, 100 g fruit.||wide. 1995.|verticillium wilt race 1, fusarium wilt races 1 and 2, nematodes, bacterial speck.|
Americana (NK 74C)|Northrup, King and Co.|Northrup, King and Co.|F1 hybrid, midseason, determinate, round.|Spring Set.|wide. 1975.|verticillium wilt race 1 and fusarium wilt race 1.|
Amex VFN (XP 271)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, relatively large globe shaped fruit for fresh market.|Calmart, Early Pak, and Pakmor.|semi-arid areas. 1975.|fusarium wilt race 1, verticillium wilt race 1, and some species of nematodes.|
Amigo (GSV 83-06)|Northrup, King Co.|Northrup, King Co.|F1 hybrid, semi-indeterminate vine adapted for pole culture, fruit are medium to medium-large, dark-green shoulder, jointed.||Mexico and Florida. 1983.|verticillium wilt, fusarium wilt race 1, nematodes, and tobacco mosaic virus.|
Amur (XPH 5300)|Asgrow.|Asgrow.|highly branched vine with short internodes, excellent foliage cover, square fruit, medium size, very firm with uniform shoulder color, pedicel is jointed.|Pacesetter 882. 1988.||verticillium race 1, fusarium races 1 and 2.|
Anahu|University of Hawaii Agric. Expt. Sta., Honolulu.|University of Hawaii Agric. Expt. Sta., Honolulu.|large, semi-globe, uniform ripening fruit; medium green color of immature fruit; vigorous vine; heavy yield in Hawaii.|Molokai.|Hawaii and some parts of the mainland United States. 1957.|root knot nematode (common race), fusarium wilt, and spotted wilt virus.|Molokai x HES 4857.
Andino (XPH 5978)|Asgrow.|Asgrow.|a processor or fresh market dual purpose pear type, full season maturity.|Roma. 1994.||certain nematode strains, bacterial speck.|
Andre (012718)|Petoseed.|Petoseed.|F1 hybrid, large, firm, globe shaped fruit, green shoulder, mid-maturity, indeterminate plant.|Carmelo.|Mexico. 1995.|verticillium wilt race 1, fusarium wilt races 1 and 2, nematodes, tobacco mosaic virus.|
AP 529|Asgrow.|Asgrow.|mid season maturing hybrid, very firm pear type fruit for peel, dice and slice, very good color, medium, determinate vine, consistent performer, widely adapted.|||verticillium wilt race 1, fusarium wilt races 1 and 2, nematodes, bacterial speck. 1998.|
AP 533|Asgrow.|Asgrow.|mid season maturing hybrid with very firm classic, pear type fruit for peel, dice and slice, very good color, medium-large, determinate vine.|||verticillium wilt race 1, fusarium wilt races 1 and 2, nematodes, bacterial speck, 1998.|
AP 539|Asgrow.|Asgrow.|mid season maturing hybrid with very firm, irregular blocky fruit, excellent color, high soluble solids and medium high viscosity, especially suitable for products, medium, determinate vine.|||verticillium race 1, fusarium wilt races 1 and 2. 1998.|
Apex 1000 (FM 67432)|Ferry-Morse.|Ferry-Morse.|very firm fruited deep round processing tomato with green shoulders, high quality.|VF 3202, Apex 2000. 1982.||verticillium wilt race 1, fusarium wilt races 1 and 2.|
Apex 2000 (FM 67435)|Ferry-Morse.|Ferry-Morse.|very firm fruited short pear processing tomato with green shoulders, high quality.|VF 3202, Apex 1000. 1982.||verticillium wilt race 1, fusarium wilt races 1 and 2.|
APT 127 (XPH 12047)|Asgrow.|Asgrow.|blocky fruited hybrid, early maturity, good solids, viscosity balance, excellent firmness.|Brigade. 1994.||verticillium wilt race 1, fusarium wilt races 1 and 2.|
APT 266|Asgrow.|Asgrow.|second early maturing hybrid with firm blocky fruit for peel and products, medium high soluble solids, good color, medium, determinate vine.|||verticillium wilt race 1, fusarium wilt races 1 and 2, nematodes, bacterial speck. 1996.|
APT 403|Asgrow.|Asgrow.|early maturing, blocky fruited, jointless, small determinate vine, heat-tolerant.||California 1997.|verticillium wilt race 1, fusarium wilt races 1 and 2, nematodes, bacterial speck.|
APT 410|Asgrow.|Asgrow.|second early maturing hybrid, very firm, blocky fruit with excellent color and medium-high soluble solids, highly suitable for peel and dice, low stem retention, consistent performer, widely adapted, medium, determinate vine.|||verticillium wilt race 1, fusarium wilt races 1 and 2, nematodes, bacterial speck. 1997.|
APT 5923 (XPH 5923)|Asgrow.|Asgrow.|uniform shouldered, irregular blocky fruit, uniform color, whole peel and dice product, high viscosity, consistent field performance.|Vega, Peto111B. 1995.||verticillium wilt race 1, fusarium wilt races 1 and 2.|
AR-King (9P5)|Joseph Harris Co.|Joseph Harris Co.|F1 hybrid, a fresh-market type, pink, firm-fruited, intermediate vine, normal ripening.|Pinkshipper.|Arkansas and Pinkshipper areas. 1966.|fusarium and verticillium wilts.|
Atila|Jean Clause Mercier.|Harris Moran.|F1 hybrid, fresh market, indeterminate, large saladette.||Mexico.||
Atkinson (AU 22 and STEP 500)|Auburn University, Auburn, Alabama.|Corneli Seed Co.|indeterminate vine, strong; fruit meaty, large to 1.1 pounds, small core, good color and flavor, green shouldered; suitable for green wraps, fresh market, and home gardens.|Marion.|southeastern U.S. Atkinson tomato, Auburn Agr. Expt. Sta. Leaf. 73, Nov. 1966.|nematodes and fusarium wilt race 1.|
Atlantic City (FMX 58)|Ferry-Morse.|Ferry-Morse.|jointless, bush or short stake culture, high yields of uniform green, large to extra large firm smooth fruit, vine medium large determinate with curly foliage, medium early maturity, machine harvest capability.|Blazer, Duke, Tempo, Flora-Dade. 1983.||verticillium wilt race 1, fusarium wilt races 1 and 2, gray leaf spot, alternaria stem canker.|
Atomic (STM 2101)|Sakata Seed America.|Sakata Seed America.|F1 hybrid, fresh market, determinate, deep oblate to globe shape, uniform shoulder, small blossom scar.|||verticillium wilt race 1, fusarium wilt races 1 and 2, alternaria stem canker.|
Attention (43511)|Enza Zaden.|Enza Zaden.|F1 hybrid.||North America. 1997.||
AV 5131 Ranch|SunSeeds.|SunSeeds.|an early midseason high yielding cultivar, square rounded fruit make excellent peelers.|UC 82.||verticillium wilt race 1, fusarium wilt race 1.|
AV 5715 EVA|SunSeeds.|SunSeeds.|midseason high yielding cultivar, performs well in high temperatures.|UC 82.||verticillium wilt race 1, fusarium wilt race 1.|
Avalanche (20-St-4, STEP 382)|University of Missouri, Columbia.|Standard Seed and Archias, Sedalia, Missouri.|F1 hybrid, plant indeterminate, good foliage cover; fruit red, large, uniform ripening; very prolific; tolerant to radial and concentric cracking.||midwestern, eastern and southern United States. Amer. Veg. Grower, Dec. 1963.|fusarium wilt and gray leaf spot.|Mozark x Glamour.
Aza Fran||Johnny's Selected Seed.|F1 hybrid, fresh market, indeterminate, small yellow fruit, balanced flavor.||||
Aztec (PS SM12)|Petoseed.|Petoseed.|long square type for fresh market saladette.|Rio Grande. 1993.||verticillium wilt race 1, fusarium wilt races 1 and 2, nematodes, bacterial speck, gray leaf spot.|
Baby Beef|Burpee. 1999.|Burpee. 1999.|||||
Baccarat (FMX155)|Ferry-Morse.|Ferry-Morse.|bush or short stake production market type, jointless, medium large, green shouldered fruit.|||verticillium wilt race 1, fusarium wilt races 1 and 2, gray leaf spot. 1990.|
Baja (GSV 84-52)|Northrup, King Co.|Northrup, King Co.|F1 hybrid, vigorous growth habit adapted for pole cultivation for early, medium, and late-season plantings; large fruit with green shoulders.||Mexico. 1983.|verticillium wilt, fusarium wilt races 1 and 2, and tobacco mosaic virus.|
Bald Mountain|Pennsylvania Agric. Expt. Sta., State College.|Pennsylvania Agric. Expt. Sta., State College.|large, early fruit, heavy yield. Dept. of Hort., Penn State College Mimeograph. 1952.||||Marglobe and two Penn State selected lines.
