Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Africa 8|Rev. Rush Wagner, Old Umtali Mission, South Africa.||round fruit, flaccid sweet red flesh, early maturity.|||anthracnose. 1937.|selection from accession sent by Wagner to Layton.
Alabama Giant|Willard Cole, Fort Payne, Ala.||long, striped melon; deep, red meat with dark seeds; good shipper.||sandy soil. 1955.||cross between Cole's All Heart, Congo, and Black Diamond.
Alena|Newe Yaar Expt. Station, Haifa, Israel.||has classic polyploid features such as broader and thicker leaves, less branching, and slower growth than diploids, seed number per fruit is about 70 compared with 500-1000 in diploid Sugar Baby, flesh is darker red and firmer than that in Sugar Baby. 1981.||||tetraploid developed by colchicine treatment of Sugar Baby seedlings.
All Heart|Willard Cole, Fort Payne, Ala.||oblong, green with darker green stripe, red meat; seeds white with dark tip end.||high sandy soil. 1950.|fusarium wilt.|Black Diamond x Congo x Dixie Queen.
Allsweet (Kansas 70-1,2,3)|Charles V. Hall, Kansas Agr. Expt. Sta., Manhattan.||long cylinder shape, broken stripe; very sweet, firm flesh with small dark-brown seeds.|Crimson Sweet for quality.|general. 1972.|fusarium wilt and anthracnose (except race 2).|[(Miles x Peacock) x Charleston Gray].
Almora (XPH 964)|Asgrow.|Asgrow.|F1 hybrid, hybrid of Sugar Baby type with lighter rind color.|Sugar Baby. 1986.|||
Amarillo|T. Williams.|Syngenta Seeds.|yellow fleshed, globe shaped fruit; striped medium green rind; fruit wt. 12-14 lb.; early maturity (80 days).|Buttercup. 2001.|||triploid seedless F1 hybrid.
Angeleno|||||||Possibly from Chilean watermelons or Chilean Black Seeded cultivar.
Apollo (PS 11052889)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|early, uniform, large Tri-X type seedless watermelon; fruit are oval shaped, 18-20 lbs., rind has a dark green stripe on a light green background; firm red flesh; small pip size; good fruit setting ability.|Millionaire, Tri-X.|NAFTA, Southeast U.S., Mexico. 2004.||triploid F1 hybrid.
Assal (XPH 5082)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, an early maturing semi-round type, somewhat darker green than Chilean Black.; about 17 pounds; very high fruit set.|Chilean Black.|wide. 1985.||
AU-Golden Producer (AU-83-1003CSY)|Alabama Agric. Expt. Station, Auburn University.|Hollar and Co.|similar in appearance to AU-Producer but flesh is a bright yellow-orange color.|||fusarium wilt, anthracnose, gummy stem blight. 1993.|mutant of AU-Producer.
AU-Jubilant (AU-1)|Alabama Agric. Expt. Station, Auburn University.|Hollar.|elongated fruit with narrow, dark green stripes on a light green background weigh 35-40 lb.|Jubilee. 1985.||anthracnose race 2, fusarium wilt, gummy stem blight.|Jubilee x PI 271778.
AU-Producer (AU-3)|Alabama Agric. Expt. Station, Auburn University.|Hollar.|round fruit with medium-wide dark green stripes on a light green background weigh 25-30 lb.|Crimson Sweet. 1985.||anthracnose race 2, fusarium wilt, gummy stem blight.|Crimson Sweet x PI 189225.
AU-Sweet Scarlet (AW-82-50CS)|Alabama Agric. Expt. Station, Auburn University.|Hollar and Co.|fruit are round to oblong in shape and similar in rind color to AU-Producer and weigh 4-6.5 kg, flesh is bright red and firm.|||fusarium wilt races 0 and 1, anthracnose race 2, gummy stem blight. 1995.|Crimson Sweet, PI 189225, Allsweet, PI 362515, Calhoun Sweet and Fusarium wilt Resistant Peacock.
Baby Gray (PSX 36585)|Petoseed Co.|Petoseed Co.|F1 hybrid, Icebox watermelon, gray-green in color with excellent shipping qualities.|||fusarium wilt. 1990|
Baby Klondike|Vegetable Crops Dept., Univ. of California, Davis.||round, green, 10 to 12 pounds, red flesh, small tan seeds.||southwestern and southern United States. Calif. Agr. 6:15. 1952.|fusarium wilt.|Baby Delight x Klondike R-7.
Baronet (XPH 962)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, dark-green, cylindrical fruit, (20 to 24 pounds) small-seeded, with concentrated set.|Picnic in color.|southwestern United States, Mexico, and the Middle East. 1984.||
Characteristics:|Adaptation:|Similar:|Breeder:|Resistance:||Parentage:|Name: Black Diamond, Yellow Belly - see Superior Black Diamond
Black Kleckley|Iowa.||darker rind than original Kleckley Sweet. 1945.||||Jugoslavia 7, Iowa Belle, Kleckley Sweet.
Black Seeded Klondike No.3|Dept. Vegetable Crops, University of California, Davis. 1933.||||||
