2012-07-18T03:23:08+00:00 DEBUG (7): exists: Sal, bean dry
2012-07-18T03:23:10+00:00 DEBUG (7): exists: Comet (251B), bean green
2012-07-18T03:23:10+00:00 DEBUG (7): exists: Gallatin 50, bean green
2012-07-18T03:23:13+00:00 DEBUG (7): exists: Skil, bean green
2012-07-18T03:23:14+00:00 DEBUG (7): exists: Toga, bean green
2012-07-18T03:23:17+00:00 DEBUG (7): exists: Green Mountain, broccoli
2012-07-18T03:23:19+00:00 DEBUG (7): exists: Green Mountain, brussels sprouts
2012-07-18T03:23:23+00:00 DEBUG (7): exists: Number 33, cabbage
2012-07-18T03:23:29+00:00 DEBUG (7): exists: Nugget, carrot
2012-07-18T03:23:34+00:00 DEBUG (7): exists: Utah 52-70, celery
2012-07-18T03:23:44+00:00 DEBUG (7): exists: Characteristics:, cucumber
2012-07-18T03:23:45+00:00 DEBUG (7): exists: Mandarin, cucumber
2012-07-18T03:23:45+00:00 DEBUG (7): exists: Marketer, cucumber
2012-07-18T03:23:46+00:00 DEBUG (7): exists: Muncher, cucumber
2012-07-18T03:23:48+00:00 DEBUG (7): exists: Pinnacle, cucumber
2012-07-18T03:23:49+00:00 DEBUG (7): exists: Prolific, cucumber
2012-07-18T03:23:49+00:00 DEBUG (7): exists: , cucumber
2012-07-18T03:23:55+00:00 DEBUG (7): exists: Long Purple, eggplant
2012-07-18T03:23:56+00:00 DEBUG (7): exists: Rosita, eggplant
2012-07-18T03:23:58+00:00 DEBUG (7): exists: Salad King, endive
2012-07-18T03:23:58+00:00 DEBUG (7): exists: Round, gourd benincasa
2012-07-18T03:24:00+00:00 DEBUG (7): exists: Extra Long, gourd laganaria
2012-07-18T03:24:01+00:00 DEBUG (7): exists: Nigerian Saybo, gourd laganaria
2012-07-18T03:24:04+00:00 DEBUG (7): exists: Italian, herbs parsley
2012-07-18T03:24:04+00:00 DEBUG (7): exists: Moss Curled, herbs parsley
2012-07-18T03:24:04+00:00 DEBUG (7): exists: Paramount, herbs parsley
2012-07-18T03:24:04+00:00 DEBUG (7): exists: Plain, herbs parsley
2012-07-18T03:24:04+00:00 DEBUG (7): exists: Triple Curled, herbs parsley
2012-07-18T03:24:11+00:00 DEBUG (7): exists: Great Lakes, lettuce
2012-07-18T03:24:14+00:00 DEBUG (7): exists: Niner, lettuce
2012-07-18T03:24:15+00:00 DEBUG (7): exists: Rave, lettuce
2012-07-18T03:24:16+00:00 DEBUG (7): exists: Rico, lettuce
2012-07-18T03:24:17+00:00 DEBUG (7): exists: Salad Bowl, lettuce
2012-07-18T03:24:17+00:00 DEBUG (7): exists: Signal, lettuce
2012-07-18T03:24:17+00:00 DEBUG (7): exists: Simpson Elite, lettuce
2012-07-18T03:24:19+00:00 DEBUG (7): exists: Time, lettuce
2012-07-18T03:24:19+00:00 DEBUG (7): exists: Vanguard, lettuce
2012-07-18T03:24:19+00:00 DEBUG (7): exists: Velvet, lettuce
2012-07-18T03:24:20+00:00 DEBUG (7): exists: Winterhaven Select, lettuce
