Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
1140|USDA and Idaho Agric. Expt. Stat., Twin Falls, Idaho.||erect semi-viny type, 85 days to maturity.||mountain states. Seed World. 8 Apr. 1960.|BCMV (1 and NY15).|Great Northern 123 x U.S. 5 Pinto.
2B-5-1|USDA and Agric. Exp. Stat., Univ. of Puerto Rico.||medium semi-vine habit, dull black seed, resistant to BCMV and rust. 1979.||||La Vega/15R-55//Mex 309 x La Vega 7.
2W-33-2|USDA and Agric. Exp. Stat., Univ. of Puerto Rico.||white bean seed and low rusting. 1979.||||Bonita 1*/Bonita/La Vega (Puerto Rico).
AC Alberta Pink (L94C274)|Agri and Agri-Food Research Center, Lethbridge, Alberta, Canada.||high yielding, large pink seed; type IIIb indeterminate growth habit; susceptible to white mold, common blight, halo blight, fusarium yellows, pythium root rot and rhizoctonia root rot. Crop Sci. 39:588, 1999. 1998.||||ISB473/4/NW63/3/Swan Valley/2/Redkloud/Kentwood.
AC Burrito (HR61-1608)|Agric and Agri-Food Canada Research Center, Harrow, Ontario, Canada.||indeterminate short bush growth habit, early maturity, dark brown, irregular variegation on light brown solid background color, shiny lustered pinto seed.|||tolerance to white mold, mod. tolerance to halo blight and brown spot; susceptible to common blight, anthracnose and BCMV; reaction to root rot less than Othello. 1996.|Sierra / Fiesta.
AC Calmont (HR41-923)|Agric. and Agri-Food Canada Research Centre, Harrow, Ontario, Canada.||determinate short bush growth habit, medium to full maturity, Dark red kidney, shiny lustered seed.|||BCMV (1 and NY15 strains) and alpha and delta and alpha Brazil races of anthracnose. 1996.|California Light Red Kidney x Montcalm.
AC Compass (HR70-1774)|Agri and Agri-Food Canada Research Center, Harrow, Ontario, Canada.||semi-determinate short vine with upright plant type, early maturity, white, dull seed coat with oblong navy bean seed.|||BCMV (race 1, 15), susceptible to anthracnose. 1998.|W1285c-42603 / OAC Laser.
AC Darkid (HR31-923)|Agric. and Agri-Food Canada Research Centre, Harrow, Ontario, Canada.||dark red kidney bean seed, medium maturing, acceptable canning quality.|||BCMV 1 and NY15 strains, and to alpha and alpha Brazilian races of anthracnose. Can. J. Plant Sci. 76:145-146, 1996. 1995.|California Dark Red Kidney/Montcalm.
AC Earlired (L94D186)|Agri and Agri-Food Research Center, Lethbridge, Alberta, Canada.||type IIIb short vine indeterminate growth habit, early maturing, comparable yields to other small red dry beans; susceptible to white mold, common blight, fusarium yellows and pythium root rot; less susceptible to rhizoctonia root rot. Crop Sci. 39:588, 1999. 1998.||||Ember (Novartis) / 5217(Idaho).
AC Elk (HR48-1290)|Agri-Food Canada Research Centre, Harrow, Ontario, Canada.||light red kidney with shiny seed coat, bush determinate growth type, early maturity.|||BCMV race 1 and to alpha and alpha Brazil races of anthracnose. 1996.|Mecosta x MRK44.
AC Hensall (HR43-1582)|Agric. and Agri-Food Canada Research Centre, Harrow, Ontario, Canada.||Navy bean, indeterminate, short vine growth habit, medium early maturing.|||BCMV 1 and NY15 strains, alpha and delta races of anthracnose. 1995.|OAC Rico/4/W1541-1503F2/3/W1336-F2//OAC Seaforth/1667.
AC Litekid (HR24-942)|Agric. and Agri-Food Canada Research Centre, Harrow, Ontario, Canada.||light red kidney bean seed, medium to full season maturity, acceptable cooking and canning quality.|||alpha and alpha Brazilian races of anthracnose, BCMV 1 and NY15 strains. Can. J. Plant Sci. 76:147-148, 1996. 1995.|Ruddy/California Dark Red Kidney.
AC Ole (HR50-1607)|Agric. and Agri-Food Canada Research Centre, Harrow, Ontario, Canada.||pinto bean seed, indeterminate erect growth habit with short vine, medium maturity, acceptable cooking quality.|||BCMV 1 and NY15 strains. 1996.|Sierra x Fiesta.
