Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Acclaim (XPB199)|Asgrow.|Asgrow.|high yield, high quality.|Eagle. PVP. 1988.||halo blight, bean common mosaic virus.|
Accord|van Waveren Pflanzenzucht GmbH. PVP 8400133.|van Waveren Pflanzenzucht GmbH. PVP 8400133.|||||
Adjutant (SVC 8257)|Stokely-Van Camp.|Stokely-Van Camp.|white, small seeded, semi-bush, high quality and yield, medium maturity.||western United States. 1965.|bean virus 1, New York 15, curly top.|
Alabama 1|Alabama Polytechnic Inst., Auburn.|Asgrow.|pole bean with slender, smooth, deep root system; large yielder, almost round pods, between 7-8' in length.|Ideal Market.|southern United States. Southern Seedsman 1-38, 2-44. 1938.|hot weather, root knot; partially resistant to rust.|locally adapted farm garden stocks.
Allegro (XPB271)|Asgrow.|Asgrow.|very small sieve green bean for fresh market fine beans.|Borneo. 1992.||bean common mosaic virus.|
Allure|Seminis Vegetable Seeds. PVP 9200196.|Seminis Vegetable Seeds. PVP 9200196.|||||
Ambassador|Novartis Seeds, Inc.|Novartis Seeds, Inc.|||||Benton/Summit. PVP 9400125.
Ambra (HMX 0104)|Robert Gehin.|Harris Moran.|52 day relative maturity fresh market green bean; medium green color, 6 inch, round, 4 sieve pods, high to mid pod placement, upright plant habit; darker pod color and more erect plant habit than Hialeah; white seeded.|Hialeah.|U.S. 2002.|BCMV, beet curly top virus.|open pollinated.
Amigo (E8206)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|midseason, tall, medium upright bush with large, dark green leaves; pods flat 8' long, 0.75' wide, medium dark green.|Unique.|Florida, New York, Wisconsin, northwestern United States. 1974.|common bean mosaic, New York 15.|
Aminca|Nunhems.|Canners.|yellow wax stringless, pod length 9-1.5 cm, 60% sieve size 9-1.5 mm.|||anthracnose, bean common mosaic virus, bean yellow mosaic virus. 1989.|
Amity|van Waveren Pflanzenzucht GmbH. PVP 8400134.|van Waveren Pflanzenzucht GmbH. PVP 8400134.|||||
Apennine (KB3-14)|Keystone Seed Co.|Keystone Seed Co.|round, dark green, 5.5' pod, distinct flavor, mechanical harvest for processing.|Cascade. 1970.||common, New York 15 bean virus.|
Apollo (7C-34)|USDA.|Washington State University, Pullman.|white seed, concentrated set of pods borne high on plant for mechanical harvest.|White-Seeded Tendercrop. 1969.||curly top, common bean virus.|(TF 3047 x P-8-478) x White seeded Tendercrop.
Applause (XPB194)|Asgrow.|Asgrow.|processing bean.|Eagle. PVP. 1988.||halo blight, bean common mosaic virus.|
Archer (SVC 8270)|Stokely-Van Camp.|Stokely-Van Camp.|white, small seeded, semi-bush, high quality and yield, medium maturity, very uniform plant and seed type.||western United States. 1965.|bean virus 1, New York 15, curly top.|
Arena|Nunhems Zaden.|Canners.|dark green pod, 11 cm.|||anthracnose, bean common mosaic virus, bean yellow mosaic virus. 1990.|
Argo (XPB142)|Asgrow.|Asgrow.|dark shiny-podded slender bush bean with colored seed coat.|Slankette. PVP. 1985.||bean common mosaic virus.|
Aristocrop [E4201(1C-70G)]|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|open pollinated, upright bush, heavy yield, medium sieve size, uniform high quality pods, round, smooth, medium dark green; slow seed and fiber development.|Early Gallatin.|Wisconsin, New York, Oregon, California. 1975.|bean virus 1A, New York 15.|
Ashley Wax|Southeastern Vegetable Breeding Laboratory, Charleston, South Carolina.|||United States 5 with exception of being wax.|Southern regional. Southern Seedsman, Oct. 1942. 1944.|common bean mosaic, powdery mildew; tolerance to heat.|Brittle Wax x United States 5, Refugee (selection) and backcross to Brittle Wax.
Asset (XPB251)|Asgrow.|Asgrow.|very small sieve; good yield.|Laureat. PVP. 1991.||bean common mosaic virus.|
Astro (XP-CGR 2)|Asgrow Seed Co.|Asgrow Seed Co.|dual purpose, white seeded, shipping and processing cultivar.|Harvester.|southeastern United States, general. Asgrow Desc. Catalog 20, December. 1965.|common mosaic, bean virus 1, New York 15.|
Atlantic (XPB148)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, very long pods; colored seed coat.|Gatorgreen.|eastern United Sates, other bean areas. PVP. 1984|bean common mosaic virus.|
Axel||Vilmorin.|for processing, pods diameter, extra fine to fine.|Irvel. 1989.||common bean mosaic virus, C. lindemuthianum.|
Baby Bop (XP351)|Seminis Vegetable Seeds-Asgrow.|Seminis Vegetable Seeds-Asgrow.|round, green, bush snap bean for whole pack processing; darker pod color than Flevero, 65% sieve size 3, 3.8' long.||U.S. and Australia. ASTA Cultivar Listing.|BCMV, anthracnose, rust.|
Bambi (GP79-189)|Dr. J. Morris.|Rogers.|smaller sieve pods than Dandy, shorter and darker; 7-8 mm diameter pod and 9 cm long; mid to late season maturity; has an erect, open bush type.|Dandy. PVP. 1989.||bean common mosaic virus.|
Banquet (XPB250)|Asgrow.|Asgrow.|slim pods, very dark green, good quality, good plant type.|Labrador. PVP. 1991.||bean common mosaic virus.|
BBL 109|Gallatin Valley Seed Co. PVP 8000049.|Gallatin Valley Seed Co. PVP 8000049.|||||
BBL 110 (GP76110)|Novartis Seeds, Inc.|Novartis Seeds, Inc.|||||Nunhems N800/BBL 210. PVP 9000105.
Beany Baby (XP366)|Seminis Vegetable Seeds-Asgrow.|Seminis Vegetable Seeds-Asgrow.|round, green, bush snap bean for whole pack processing, medium dark color, 4' long, 63% sieve size 3.|Dandy.|U.S. ASTA Cultivar Listing. PVP 9900073.|BCMV I gene, anthracnose.|
Beeline (E8269)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|open pollinated, early with good plant habit, high yield potential, good steam table holding ability, earlier than Blue Dawn.|Bush Blue Lake.|wide. PVP. 1982.|common bean mosaic, bean virus 1A, some rust races.|
Bef|Royal Sluis B.V.|Royal Sluis B.V.|76 day, 15 cm round dark green pod on 35-45 cm erect plant; uniform pod set, high yield, slow prominence development.|||BCMV, anthracnose. PVP 7700060.|
Benchmark|Novartis Seeds, Inc. PVP 9700096.|Novartis Seeds, Inc. PVP 9700096.|||||
Benton|Rogers.|Rogers.|59 day, #4 sieve, Tendercrop type for fresh or processing market; large upright bush with 13-15 cm pods.|||BCMV races 1 and NY 15, bacterial brown spot tolerant. PVP 8300048.|
Biscayne (XPB204)|Asgrow.|Asgrow.|colored seed coat.|Triumph. PVP. 1987.||bean common mosaic virus.|
Blazer (GP 826414)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|open pollinated, erect bush and medium sieve size, green pods,5.5' long.|BBL 47.|wide. PVP. 1986.|common mosaic, New York 15 strain; tolerance to some rust strains.|
Blenda|Nunhems.|Canners.|very slender pods length 12 cm, 70 %, 6.5-8 mm sieve size, stringless.|||bean common mosaic virus, anthracnose, bean yellow mosaic virus. 1989.|
Blue Chip (CODE167)|L. B. Kerr.|Musser.|heavy yield, large sieve, Blue Lake type.|OSU1604. PVP. 1984.||bean common mosaic virus.|
Blue Crop (E1209)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|late midseason, tall, upright habit; pods round, 6', medium blue-green color, solid flesh, very slow seed and fiber development, dark foliage color.|Bush Blue Lake 274.|Wisconsin, New York, mid-Atlantic, northwestern United States. 1974.|common bean mosaic, New York 15.|
Blue Danube (1217)|Northrup, King and Co.||white seeded, green podded bush bean; slim, medium length pod, matures in Tendercrop season or slightly earlier, suited for whole bean pack. 1967.||||closed.
Blue Dawn (E-5202)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|open pollinated, upright and slightly open habit, good holding ability; excellent Blue Lake pod color and flavor that holds into large sieve sizes.|Bush Blue Lake type.|wide. PVP. 1979.|common bean mosaic New York strain.|
Blue Gem (WM170-4)||Rogers.|Blue Gem is an upright bush type snap bean cultivar which has strong Blue Lake flavor and texture; pod color is dark green and yield is very good.|OSU #4091-G. 1989.||bean common mosaic virus, bean virus 1, New York 15.|
Blue Knight (EI203)|Dr. G. Emery.|Ferry-Morse.|Bush Blue Lake type; early maturity, and upright plant habit.|||bean virus 1A. PVP. 1988.|
Blue Lagoon (RS5402)|Waltrip.|Petoseed.|bush bean, very dark pea, medium large size, vigorous plant type, medium early maturity.|Blue Lake.||curly top, cbmv.|
Blue Lake 65|Ferry-Morse Seed Co., Mountain View, California.|Ferry-Morse Seed Co., Mountain View, California.|long, straight pods; pod color for processing.||Pacific coast of United States. 1947.||Morse's Pole 191 x Reg. Blue Lake.
Blue Lake FM-1|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|66 day, stringless, tall climbing,5.5-6.0', vines, 9-10 cm pods, round, green podded, pole bean.|||BCMV race 1.|
Blue Lake GV 2|Gallatin Valley Seed Co. PVP 7300023.|Gallatin Valley Seed Co. PVP 7300023.|||||
Blue Lake GV 150|Gallatin Valley Seed Co. PVP 7300024.|Gallatin Valley Seed Co. PVP 7300024.|||||
Blue Lake, Black Seeded|Rogers Brothers Co.|Rogers Brothers Co.|five foot, dark green pole type vine, round, straight, stringless pod, black seed.|Ideal Market Pole. Rogers Brothers Catalog, 1941.||common bean mosaic.|Ideal Market Pole x United States 3 Pole.
Blue Max (2620)|Northrup, King and Co.|Northrup, King and Co.|open pollination, large sieve, semi erect habit, dark green pod color.|Oregon Blue Lake 1604.|processing, home garden. 1972.||
Blue Mountain (8BP-14)|USDA-SEA/AR, Prosser. Wash.||open pollinated, Blue Lake flavor, texture, color; upright bush habit; tolerance to heat during bloom; five days earlier and picks cleaner than BBL-94.|Tendercrop.|arid western, midwestern United States. 1983.|common bean mosaic, curly top.|
Blue Ribbon|Parker Brothers Seed Co., Knoxville, Tennessee.|Asgrow.|pole bean, very excellent flavor, high yields and easy to grow.|Striped Creaseback.|southern United States. Association Seed. 1940.|bean rust.|North Carolina local stock.
Blue Ridge (FM103)|Dr. G. Emery.|Ferry-Morse.|round Greenpod market/ processing, dual use type; good seed vigor under cool soil conditions.|Producer. PVP. 1989.||bean common mosaic virus.|
Bluelake 1502|Seed Res. Specialists, Niagara Chem. Division, Ferry-Morse Seed Co. Corp.|Seed Res. Specialists, Niagara Chem. Division, Ferry-Morse Seed Co. Corp.|green podded bush bean, pods 5 x 3/8', round, stringless, quite straight, high quality, plants 12-15' high, vigorous, seeds white, bred for processing.||wide. 1964.|common mosaic, New York 15.|
Bluepak (81-WM-173-1)|Dr. J. Morris.|Rogers.|Bluepak is an early to mid season maturity Bush Blue Lake cultivar that combines typical BBL quality with a compact erect bush. Bluepak has a 15 cm pod with a 10-11 mm diameter.|OSU #4755. PVP. 1985.||bean common mosaic virus.|
Bollie Green|Albert Bollie. PVP 7200088.|Albert Bollie. PVP 7200088.|||||
Bollie White|Albert Bollie. PVP 7200093.|Albert Bollie. PVP 7200093.|||||
Characteristics: dark podded bean for processing, freezing.|Adaptation: where ever snap beans are grown. 1964.|Similar: Gallatin 50.|Breeder: Gallatin Valley Seed Co.|Resistance: common mosaic, bean virus 1, New York 15, pod mottle.|mechanical harvesting.|Parentage:|Name: Bonanza
Bonanza Wax|Seminis Vegetable Seeds. PVP 7200026.|Seminis Vegetable Seeds. PVP 7200026.|||||
Bonvert (1204)|Northrup, King and Co.||green bush, white seed.|Sprite but pods rounder and slightly larger and leaf color slightly lighter. 1966.|||
Bountiful Canner (Improved Bountiful)|Rogers Brothers Seed Co., Idaho Falls, Idaho.|Rogers Brothers Seed Co., Idaho Falls, Idaho.|one day later than Bountiful, heavier yielding, longer; slightly larger, less fibrous pod.|Bountiful.|Bountiful areas. Rogers Brothers Catalog, 1953.||Plentiful x Bountiful.
Bounty (XP100)|Ferry-Morse.|Ferry-Morse.|an early white seeded green snap bean, approximately 50 days in maturity; pods are medium green, 5.75-6' in length, round in cross section, and are borne high on the plant in a large concentrated set.|Torrent, and Producer. PVP. 1985.||bean common mosaic virus.|
Briggs (SSG 1204)|Shamrock Seed.|Shamrock Seed.||Hileah.|all fresh market green bean growing areas. ASTA Cultivar Listing. PVP 9800026.|common bean rust; common bean mosaic, root rot.|
Brilliant|Dept. of Hort., University of New Hampshire, Durham, New Hampshire.|Merrimack Farmers Exchange.|this bean combines bright red pods of French Hort. with reddish beans of Gage; has short runners.|Gage cultivar with bright red pods.|northern New England. 1940.||cross between French Hort. and an heirloom bean known locally as Gage.
Brio (XPB221)|Asgrow.|Asgrow.|early high yield of medium dark green, medium long, slim pods.|Bronco. 88-89.||bean common mosaic virus.|
Broker's Choice|Novartis Seeds, Inc. PVP 8100175.|Novartis Seeds, Inc. PVP 8100175.|||||
Bronco (XPB 172)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, fresh market been with straight, slender, dark, shiny pods.|Strike.|all bean areas. PVP.|bean common mosaic virus.|
Buriv (GP 721)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|open pollinated, midseason green podded cultivar with medium to long, pods that maintain small seeds and low pod fiber even when a high ratio of pods are six sieve size; excellent for cut or French slices.|Greenpak.|wide. PVP.|common bean mosaic bean virus 1, New York 15.|
Burly|Novartis Seeds, Inc. PVP 8100032.|Novartis Seeds, Inc. PVP 8100032.|||||
Burpee's Golden Pole|W.A. Burpee Co.|W.A. Burpee Co.|early, completely stringless and fiberless at all stages, bears from bottom of plant and has exceptionally fine flavor and bright color.|Golden Cluster Wax.|wide. Burpee Catalog 1954.||plant selection from unknown European cultivar.
Burpee's Richgreen|W.A. Burpee Co.|W.A. Burpee Co.|distinct extra dark green pod and color carries through flesh.|Wade.|wide. 1966.|common mosaic, bean virus 1, New York 15, powdery mildew.|mutation in Wade.
Burpee's Tender Pod|W.A. Burpee Co.|W.A. Burpee Co.|pods 4.5-5.5' long, round, dark green, of excellent quality, distinct long spur, not found in other snap beans.||wide. Burpee Catalog 1941.||
Bush Blue Lake (XP 240)|Asgrow Seed Co., New Haven, Connecticut.|Asgrow Seed Co., New Haven, Connecticut.|pod characteristics of Stringless Blue Lake Pole bean with determinate plant of standard bush types; white seeded.||wide. Asgrow Desc. List, January. 1961.|common and New York 15 bean virus.|
Bush Blue Lake 47 (XP B47)|Asgrow Seed Co.|Asgrow Seed Co.|erect plants, Blue Lake pod, generally good yield and pod quality.|Bush Blue Lake 274.|wide. 1974.|New York 15.|9W x BBL 274.
Bush Blue Lake 53 (XP 53)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, Bush Blue Lake 290 except four to five days earlier.|Blue Lake 290.|northwestern United States. 1975.|New York 15.|
Bush Blue Lake 92 (XP B92)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, large podded, early-midseason Blue Lake for processing and fresh market.|Thor and Bush Blue Lake 274.|wide. PVP. 1977.|bean virus 1, New York 15.|
