Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Action|Bejo.||F1 hybrid, round shape, dark red interior, disease resistance; multipurpose beet, high bolting resistance.||||
Avenger|Harris Moran.||F1 hybrid, flattened globe shape, tall, full, glossy green tops, developed for the bunching and greens markets, developed from germplasm from the University of Wisconsin beet breeding program.||||
Big Red|W.H. Gabelman, University of Wisconsin, Madison.||F1 hybrid, round shape, dark red interior, high sugar content, bright green glossy leaf, sweet flavor, multipurpose beet, high yield potential.||||
Big Top|Johnny's Selected Seeds. 1999.|Johnny's Selected Seeds. 1999.|||||
Bikores|Bejo.||round shape, dark red interior, strong tops, bolt resistant.||||
Bolivar|Nunhems Zaden.|Nunhems Zaden.|round multigerm suited for processing, very uniform, smooth skin, deep red internal color, very strong plant type, upright leaves, very slow bolting. 1989.||||
Burpee Redhart|W. Atlee Burpee Company, Philadelphia.|W. Atlee Burpee Company, Philadelphia.|good uniformity of shape; dark interior color.|Crosbys Egyptian.|wide. Burpee Catalog, 1953.||selection from Crosbys Egyptian.
Burpee White|W. Atlee Burpee Company, Philadelphia.|W. Atlee Burpee Company, Philadelphia.|white roots, top shaped with rather coarse rattail, green tops, flesh white with sweetest taste of any table beet. Burpee Catalog, 1952.||||
Cardenal|Petoseed.|Petoseed.|open pollinated, early maturing; for bunching, processing, home garden; tops 10 to 12' tall, fiber-free, smooth root, keeps shape well; very good interior color even under stress conditions.|Ruby Queen.|wide. 1978.||line selection over years out of Ruby Queen.
Centurion (PS 589)|Seminis Vegetable Seeds-Petoseed.|Seminis Vegetable Seeds-Petoseed.|bunching, tops 12 to 14 inches tall, round shape, clean leaves, early maturity, blood red interior color, does not bleed.|Little Ball.|U.S., France. 1999.||F1 hybrid.
Chariot (PS 185)|Seminis Vegetable Seeds-Petoseed.|Seminis Vegetable Seeds-Petoseed.|processing, bunching, upright foliage, blood red interior, medium tall, globe shaped top, uniform smooth crowns, late maturity.|Red Ace.|Pacific northwest, Wisconsin, Michigan, New York, New Jersey. 1999.||F1 hybrid.
Chicago Red|Burpee.||purple red, roots elongated, extra sweet.||||
Chioggia|||flattened globe shape, medium green leaf, zoned purple and white bullseye appearance, novelty color.|||high tolerance to bolting.|
Citation|Northrup King and Company, Minneapolis.||red, very smooth and round, small tap root; tops 12 to 13' tall, bright dark green; suited for distance shipping; Boston Crosby type. Amer. Vegetable Grower, Nov. 1963. 1962.||||
Crosby Green Too|Joseph Harris Company, Rochester, New York.|Joseph Harris Company, Rochester, New York.|green top under adverse weather conditions.|Crosby.|eastern United States. Harris Catalog, 1951.||Crosbys Egyptian.
Crosbys Egyptian|||top shape, dark red interior, dark green matte leaf, early maturity.|||low tolerance to bolting|
Cylindra|||blunt cylinder, purple-dark red interior, dark green matte leaf, high yield.|||tolerance to downy mildew, moderate tolerance to bolting.|
Cyndor|||blunt cylinder, dark red interior, medium green matte leaf, resists curved root.|||high tolerance to bolting.|
Darko|Vilmorin.||globe shape, bright red interior.|||good tolerance to bolting.|
Detroit Dark Red|||globe, dark red interior, dark green matte leaf, multipurpose beet.||wide.|high tolerance to bolting, tolerance to cercospora leaf spot, moderate tolerance to downy mildew.|
Detroit Short Top|||globe, purple interior, medium dark green glossy leaf, strong tops.|||moderate tolerance to downy mildew, moderate bolting tolerance.|
Detroit Supreme|Alf Christianson Co.|Alf Christianson Co.|open pollinated, root color very even and dark, very smooth, good dark outside color; shape round to somewhat high-round; leaves medium length with small root attachments, long petioles.|Detroit Dark Red.|wide. 1984.|downy mildew; tolerance to Peronospora farinosa f. sp. Betea.|
Early Wonder Staysgreen|Northrup King and Co.||selected for improved leaf color; leaves stay green longer during cool weather than other cultivars.|Early Wonder. 1961.|||selection from Early Wonder.
Early Wonder Tall Top|||flat globe, medium red interior, medium green slightly glossy leaf, durable tops, low bolting tolerance.||||
