Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Albion|Reed.|Nickerson.|hybrid, excellent late storability, medium sized head, flattened round, nice wrappers.|||yellows, tolerance to thrips.|
Allyear|Louisiana Agric. Expt. Sta., Baton Rouge.|Reuter Seed Co.|round head, short core, high quality.|Round Dutch.|southern United States.|tolerance to low temperature.|Charleston Wakefield x Louisiana Copenhagen Market.
Almanac|Seedway.|Bejo.|hybrid, processing, productive, early, dense.|||tolerance to tipburn, splitting.|
Amager Green|Reed.|Daehnfeldt.|hybrid, stores well, green winter type, flattened round, fairly tight wrappers.||||
Amtrak|Seedway.|Bejo.|hybrid, storage, large, green and clean out of storage, short core.|||yellows, black spot, tolerance to tipburn, thrips.|
Arena (84G-YR50)|Sakata.|Sakata.|hybrid, light green, upright, earlier than other storage types.|||fusarium yellows, tipburn. Storage type. 1990.|
Arrowhead|Vilmorin Seed Co.|Vilmorin Seed Co.|||||F1 hybrid. 2000.
Aruba|Dan Holmes.|Seminis Vegetable Seeds.|large, blue-green heads.|||fusarium yellows, black rot, tipburn.|
Astrus (XPH5623)|Asgrow.|Asgrow.|large cabbage semi-flat, large formed plant, blue-green color.|Natsuwase, Kenzan, Fuyutoyo. 1991.|||
Atlantis|Petoseed.|Petoseed.|fresh market hybrid with excellent round dense heads and very good field holding ability.|||fusarium yellows, black rot, tipburn tolerance.|
Atria|Reed.|Petoseed.|hybrid, late fall type, excellent yield potential, holds well, dry matter high.|||yellows, tipburn, tolerance to black rot.|
Autoro|Seedway.|Bejo.|hybrid, red, storage, very late, medium tall, well wrapped.|||split, tolerance to tipburn, black speck.|
Avalon|Reed.|Nickerson.|hybrid, storage type, high yield, stores well, medium tall plants, green.|||yellows, tolerance to thrips.|
Azan|Reed.|Petoseed.|hybrid, good yielding, uniform, week earlier than Atria, holds well, dry matter high.|||yellows, tipburn.|
Azurro|Bejo Seeds.|Seedway.|F1 hybrid, quick heading, vigorous, uniform, numerous wrapper leaves.|||Black leg, thrips and tipburn tolerant.|
Badger Ballhead|University of Wisconsin and USDA, Madison, Wisconsin.||smaller headed, bluer colored.|Wisconsin Ballhead.|in Ballhead areas. Phytopathology 47. 1956.|cabbage yellows and mosaic.|Wisconsin Ballhead x Wisconsin Hollander.
Badger Ballhead 14 YR|Asgrow Seed Company, New Haven, Connecticut.|Asgrow Seed Company, New Haven, Connecticut.|exceptional uniformity of plant and head type.|Badger Ball Head Y. Asgrow, Your Crops, Fall 1961.||cabbage yellows.|selection from Badger Ball Head Y.R.
Badger Belle (Badger Inbred 7)|Department of Plant Path., University of Wisconsin, Madison.||uniform market cabbage; head leaves exceptionally, sweet, juicy, and tender; heads are firm; a small, compact, very uniform Globe type.|Globe.|midwestern United States and muck of Florida; does poorly on sand in Florida. Wisconsin Agric. Expt. Sta. Res. Bul. 259. 1967.|fusarium yellows, cabbage mosaic viruses A and B.|Bugner, Wisconsin All Seasons, Wisconsin Golden Acre, and Badger Market.
Badger Blueboy (Badger Inbred 3)|Department of Plant Path., University of Wisconsin, Madison.||bright gray-blue color of Danish Ballhead type; uniform, slightly elongated, market type.|Badger Ballhead.|market cabbage in Florida on sand and in the midwestern United States. Wisconsin Agric. Expt. Sta. Res. Bul. 259. 1967.|fusarium yellows, cabbage mosaic viruses A and 11.|Wisconsin All Seasons, Bugner, and Badger Market.
Badger Market|USDA and University of Wisconsin, Madison.||second early Copenhagen type with small compact head.||wide. Phytopathology 43:649-650. 1953.|yellow mosaic.|Racine Market and Globe.
Badger Shipper|University of Wisconsin, Madison. and USDA.||outer leaves smooth with medium grilled margin; bluish green; heads globular; outer head leaves moderate tightly clasping; texture crisp; flavor mild to sweet; similar in season to Globe.|||clubroot and yellows. Wisconsin Agric. Expt. Sta. Bul. 547:12-16 1960. 1961.|Kale x Cabbage.
Balaton|Bejo Seeds.|Bejo Seeds.|F1 hybrid; storage type, with round, large heads, excellent storer with high dry matter.|||tolerance to black speck and tipburn.|
Banner (XP 1032)|Asgrow Seed Co.|Asgrow Seed Co.|early yellow-green cultivar.|Golden Acre.|general. 1970.|yellows.|hybrid from Asgrow lines.
Bartolo|Bejo Seeds.|Bejo Seeds.|F1 hybrid; storage type, with high yields, long storage and attractive waxy wrappers.|||tolerance to black speck and tipburn.|
Baseball (PSR2592)|Petoseed.|Petoseed.|very small heads, approximately the size of a softball, small space-saving plants, 45 day maturity, super early. 1994.||||
Bayou Dynasty|Tom McBride.|Seminis Vegetable Seeds.|medium, blue-green, semi-round head.|||fusarium yellows, black rot.|
Bently|Seedway.|Bejo.|hybrid, very late, very long term storage, medium dark green, stands well, easy trim.|||TMV, black speck, tolerance to tipburn, thrips.|
Bertolo|Seedway.|Bejo.|hybrid, storage, very late, very long term storage, thick wrapper leaves, a long term standard.|||tolerance to tipburn, black speck.|
Bingo|Seedway.|Bejo.|hybrid, long term storage, blue-green.|||black speck, TMV, tolerance to tipburn, thrips.|
Blue Bayou (XPH5781)|Asgrow.|Asgrow.|medium sized plant with blue-green plant and head color, heads are round to semi-round in shape.|Conquest. 1994.||fusarium yellows, black rot.|
Blue Dynasty|Tom McBride.|Vendor Seminis Vegetable Seeds.|vigorous, fresh market hybrid with round head and good wrappers.|||fusarium yellows, black rot.|
Blue Gem||Harris Moran. 1992.|||||
Blue Heaven (Hyb. 1557)|Keystone Seed Co.|Keystone Seed Co.|F1 hybrid, early blue-green market cabbage with spherical head and fine, high-quality white interior.|Badger Market for type, Golden Acre for size and maturity.|not restricted. 1977.|fusarium yellows.|
Blue Jacket (LH 105)|Joseph Harris Co.|Joseph Harris Co.|hybrid, late blue-green Danish, long storage.|Danish Ballhead.|northeast United States. Joseph Harris Company Catalog, 1969.|yellows.|
Blue Pak (11C-X28)-1978|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, late, well wrapped, blue green color, short core, tight interior.|Danish types.|Texas, Florida, and the midwestern and northeastern United States. 1978.|fusarium yellows.|
Blue Thunder (HMX7270)|E.Merrell.|Harris Moran.|large upright plant with tall wrapper leaves, blue-green plant color, heads mature in midseason and are dense with white interiors.|Bravo. 1993.||fusarium yellow race 1, black rot.|
Blue Vantage||Harris Seeds.|F1 hybrid with large heads good wrapper leaves; short cores and excellent holding ability.||||
Bobcat|Reed's Seeds.|Reed's Seeds.|Mid-early high yielding fresh market cultivar; holds well and has good flavor.|||fusarium yellows, excellent thrips tolerance, black rot tolerance.|
Bonanza|Ferry-Morse Seed Company, Detroit.|Ferry-Morse Seed Company, Detroit.|short core, extremely hard head, round and slow to bolt or burst.||wide. 1950.||selection from Russian sample (1937) of Bellorusskaya N-184 (Russian for white cabbage).
Bounder|Petoseed.|Petoseed.|blue-green, vigorous plant, round head.||wide. 1989.|tipburn, black rot.|
Bountivoy|Reed.|Nickerson.|hybrid, excellent midseason Savoy, very fancy, large frame heavy round head, dark green.|||yellows.|
Bravo||Harris Seeds.|F1 hybrid with uniform, large round heads, blue-green color; performed well in southern U.S. in winter and in northern U.S. in summer.||||
Bronco|Bejo Seeds.|Seedway.|F1 hybrid fresh-market fancy type with waxy wrappers, excellent yield and shipping quality.|||fusarium yellows; tolerance to tipburn and black rot.|
Brutus|Seedway.|Bejo.|hybrid, storage, long term, round large, very green.|||thrips, tolerance to black speck, tipburn.|
Canadian Acre|Division of Horticulture, Central Experimental Farm, Ottawa, Ontario, Canada.||earliness, small size, uniformity.|Golden Acre.|relatively wide.||selection from Golden Acre.
Capitan (FMX 388)|Ferry-Morse.|Ferry-Morse.|green color, large plant type, solid heads.|Bravo, Grandslam, Superette, Greenboy.||yellows, low tolerance to black rot.|
Cardinal (HMS5254)||Harris Moran.|excellent head protection, good field holding ability.|||fusarium yellows. 1992.|
Carlton|Seedway.|Bejo.|hybrid, processing, dense, short core.|||tolerance to yellows, tipburn.|
Cecile|Seedway.|Bejo.|hybrid, processing, round, high dry matter, very short core, blue-green.|||yellows, tolerance to tipburn.|
Charmant|Reed.|Sakata.|hybrid, very early, Stonehead and Princess class, medium dark green, flattened round head.|||yellows, tolerance to tipburn, black speck.|
Charmed Dynasty (XP 15753)|Tom Mcbride.|Seminis-Asgrow.|early maturing white cabbage, Charmant type, tip burn tolerant; good field heading.|Charmant.|worldwide. 2000.|fusarium yellows.|F1 hybrid.
Ch√¢teauguay (21.115.04)|Canada Research Sta., CDA, St. Jean, P.Q.||uniform medium sized head (3 pound) with good compaction and interior; very dark blue color.|Stonehead.|Canada and Minnesota. Canada J. Plant Sci. 1972.||hybrid, 244 x B.H.
Cheers|Reed.|Takii.|hybrid, like Bravo but bluer, flattened round.|||yellows; tolerance to black rot, thrips, tipburn.|
Chief|Seedway.|Bejo.|hybrid, storage, round, medium, stands upright, late for short storage.|||tolerance to yellows, tipburn.|
Chieftan Savoy|Ferry-Morse Seed Co., Mountain View, California.|Ferry-Morse Seed Co., Mountain View, California.|a distinct savoy type, firm, round heads, heavily and evenly savoyed.||wide. 1938.||selection from market garden savoy type.
Cole Cash (NCX 907)|FMC.|FMC.|large framed, late, vigorous, upright, blue-green plants with slightly flattened, firm heads that grow to 8 to 9 pounds before splitting, for fresh market or kraut.|Rio Verde.|wide, particularly Texas.|yellows; tolerance to tipburn.|F1 hybrid, Globelle male; female proprietary.
Coleguard (HMX5252)||Harris Moran.|||||
Colorsa|Bejo Seeds.|Seedway.|unique red Savoy F1 hybrid with sweet flavor, excellent wrappers; turns blue-purple when cooked.|||tipburn tolerant.|
Comparsa|Bejo Seeds.|Seedway.|early F1 hybrid, compact-growing, dense, finely-savoyed, green.|||fusarium yellows, tipburn tolerant, thrips tolerant.|
Condor (NCX 9035)|Moran Seeds.|Moran Seeds.|F1 hybrid, blue-green with very erect frame; dual-purpose, midseason that can be used for fresh market or the early kraut market.||wide. 1981.|fusarium yellows.|
Conquest (XP H1067)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, extremely attractive large heads, solid, fine eating quality, holds well.|Market Prize, Rio Verde, and Superette.||yellows. 1980.|
Constanza (PSX17483)||Petoseed.|main season blue-green shipper, high yield and adaptable.|Fortuna, Izalco. 1992.||fusarium yellows, Xanthomonas campestris.|
Coral Sea|Dan Holmes.|Seminis Vegetable Seeds, Petoseed brand.|early, round heads.|||Black rot, heat tolerance.|
Coronet||Chriseed.|hybrid, late, blue-green, medium head, medium high dry matter, very good flavor, excellent storability.|||yellows, tolerance to tipburn, thrips.|
Cosmos (XPH819)||Asgrow.|semi-flat hybrid.|KY-Cross. 1983.||black rot.|
Crimson (CB9-10)|Zaadunie.|Rogers Brothers.|round, very dense, deep purple-red color.|Ruby Perfection. 1992.|||
Crown|Chriseed.||hybrid, late, medium large, solid, cole slaw.|||yellows, high tolerance to tipburn, frost.|
Decema (OP)|Seedway.|Bejo.|open-pollinated, storage, very late, long term storage.||||
Defender (51015)|Joseph Harris Co.|Joseph Harris Co.|F1 hybrid, medium-sized, open plant, good cover, second early, smooth round, market head with solid interior and short core; stands well in field without splitting.|Hybrid 15.|spring and summer growing areas. 1976.|fusarium yellows and bract black rot.|
Desert Vantage (SCB6110)|Sakata Seed.|Sakata Seed.|outstanding cabbage.||desert southwest. 2000.||
Desmond|Bejo Seeds.|Seedway.|excellent storage F1 with flat, round medium-large heads. Uniform when crowded for fresh market storage.|||fusarium yellows. Tipburn, black speck and thrips tolerant.|
Desserts No.126|Dessert Seed Company, El Centro, California.||heads uniformly round, very firm, with good green color; maturity 1 week earlier than Golden Acre; excellent shipping quality.|Golden Acre.|same areas as Golden Acre. Amer. Vegetable Grower. 1960.||unknown.
Deuce (HMX 0222)|S.A. Clause.|Harris Moran.|large head cabbage, with small core and white interior; for processing and kraut.||northeastern U.S. 2003.|Fusarium yellows.|F1 hybrid.
Dialog|Bejo Seeds.|Bejo Seeds.|processing F1 hybrid; vigorous with extra large, very dense heads; excellent for mechanical harvesting.|||fusarium yellows, tipburn.|
Discover|Bejo Seeds.|Seedway.|vigorous processing F1 hybrid with very large, dense heads; very high dry matter and excellent holding ability.|||fusarium yellows; tolerance to tipburn.|
Discovery|Petoseed.|Petoseed.|fresh-market hybrid with medium large blue-green heads and excellent flavor; allows for high density population.|||fusarium yellows, tipburn tolerance.|
Dutchman (E4205)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, uniform firm heads, leaves medium blue-green, slightly spreading; market type.|Ferry's Round Dutch.|wide. 1966.|fusarium yellows.|combined inbreds from Ferry-Morse Seed Co.
Dynamo||Harris Seeds.|F1 hybrid with uniform, dense, small heads with blue-green color.|||black rot.|
Dynasty (XPH 1104)|Asgrow Seed Co.|Asgrow Seed Co.|F1 hybrid, well suited to Rio Grande Valley of Texas and Mexico, vigorous.|Market Prize.|Rio Grande Valley and Mexico. 1985.|yellows, tolerance to downy mildew.|
Early Cole (PS63880)|Petoseed.|Petoseed.|large heading early maturing cabbage for coleslaw and kraut.|Sanibel. 1992.||fusarium yellows.|
Early Curly (No.8010)|Fukukaen.|W. Atlee Burpee Co.|F1 hybrid, early maturing Savoy type with heavily crinkled or savoyed leaves, small core, sweet flavor.|Salarite.|wide. 1985.||
Early Dynasty (XP 15701)|Tom McBride.|Seminis-Asgrow.|Pacific class hybrid, round green head that holds well.|Headstart.|California, Arizona. 2000.|fusarium yellows.|F1 hybrid.
Early Thunder (HMX 0228)|Harris Moran.|Harris Moran.|early maturing; round uniform heads; excellent field holding ability; slow bolting and mild texture and taste.||U.S. fresh market. 2002.|Fusarium yellows (race 1); tolerance to black rot.|F1 hybrid.
Eastern Ballhead|Eastern States Farmers Exchange, West Springfield, Massachusetts.|Eastern States Farmers Exchange, West Springfield, Massachusetts.|many wavy wrapper leaves close about the medium sized flattened globe shaped head, retaining green color to full maturity.||northeastern United States. Eastern States Cat. 1957.|mildew.|selection of Penn State Ballhead.
Emblem (SCB3319)||Sakata.|hybrid, mid-maturity, greenish blue, medium sized excellent wrap.|||yellows, tolerance to tipburn.|
Empire Danish|Cornell University, Ithaca, New York.||a cabbage-yellows-resistant New York type Danish Ballhead.|Danish Ballhead.||cabbage yellows. Farm Research 21(1):10. 1955.|Wisconsin Ballhead x Dons Danish Ballhead) x Donks Danish Ballhead 4 (strain selected by John Donk, Fairport, New York).
Encore (HMX 0224)|Clause Tezier.|Harris Moran.|fresh market and processing kraut type; green leaves; large, round, flat, dense head; good field holding ability.||U.S. 2003.||F1 hybrid.
Enterprise (XP 1053)|Asgrow Seed Co.|Asgrow Seed Co.|plants medium size and erect, short stem, dark green outer leaves with heavy bloom, globe head, dark green, firm, small core.|Market Prize.|general. 1974.|yellows.|hybrid, Asgrow lines.
Excel (Hybrid X)|Joseph Harris Co.|Joseph Harris Co.|F1 hybrid, main season blue green Danish type for storage.|Harris Resistant Danish.|northeast United States. 1971.|fusarium.|
Express (XP 1037)|Asgrow Seed Co.|Asgrow Seed Co.|early, midseason, with resistance to bursting in eastern trials.|Banner. 1973.||yellows.|hybrid, Asgrow lines.
Falcon|Reed.|Petoseed.|hybrid, large frame, high yielding, very late, good holding, dry matter high.|||yellows; tolerance to tipburn, black rot, thrips.|
Famosa|Bejo Seeds.|Seedway.|early Savoy F1 hybrid with dark green, well wrapped, dense heads.|||tipburn tolerant.|
Farao|Bejo Seeds.|Seedway.|fresh-market, 62 day maturity, sweet, dense heads, good field holding.|||tipburn, thrips tolerant.|
Fast Vantage (SCB2109)||Sakata.|hybrid, early maturity, very uniform, medium green.||||
Fastball||Burpee Seed.|||||
Fieldsport|Seedway.|Bejo.|hybrid, fresh market, dense, early, well wrapped, good field holding.|||yellows.|
Flash (PSX53380)|Petoseed.|Petoseed.|early cultivar, deep green color, small compact plant.|Golden Cross. 1989.||fusarium yellows.|
Fortuna|Reed.|Petoseed.|hybrid, uniform, good wrappers, vigorous, holds well, gray blue-green.|||yellows; tolerance to tipburn, black rot, thrips.|
Fresco|Bejo Seeds.|Seedway.|fresh-market F1 hybrid with well-wrapped heads and good field holding.|||fusarium yellows, tipburn, thrips, and black rot tolerant.|
Fuerte|Bejo Seeds.|Bejo Seeds.|fresh-market F1 hybrid with uniform, round, well-wrapped heads of medium density; compact, blue-green heads.|||fusarium yellows, tipburn.|
Galaxy|Reed.|Petoseed.|hybrid, #1 in Europe for yield and storability, very long storability, tall vigorous high yield, excellent.|||high to thrips, tolerance to storage diseases.|
Genesee|Petoseed.|Petoseed.|processing hybrid with uniform, large round, dark gray-green heads; high yields and dry matter.|||fusarium yellows, tipburn tolerance.|
Genesis (ARCO 206)|ARCO Seed Co.|ARCO Seed Co.|F1 hybrid, midseason fresh market type, green-bluegreen in color, medium to large frame with good wrappers, round heads with solid interiors and medium-short cores.|Bravo.|wide. 1984.|fusarium yellows, tolerance to Xanthomonas black rot.|
Geneva (RS87508)|Reed.|Petoseed.|hybrid, stores well, flattened round, blue-green.|||yellows, tolerance to thrips.|
Genuine|Reed.|Sakata.|hybrid, excellent early Savoy, hold well, flattened round, medium blue-green.||||
Gideon|Seedway.|Bejo.|hybrid, fresh market, round, short core, dense, thick waxy wrappers.|||yellows, tolerance to tipburn, blackrot.|
Gladiator (YBR 1615)|Joseph Harris Seed Co.|Joseph Harris Seed Co.|F1 hybrid, 72-day, fresh market; round shape, blue-green and very solid interior with good wrapper leaves and excellent standability.|Market Prize.|northern and central North America. 1980.|fusarium yellows, black rot.|
Globelle|Department of Plant Path., University of Wisconsin, Madison.||uniform short and long standing, deep blue color; late midseason maturity; useful for market or kraut in the northern United States and market in Florida and the southern United States.|Globe.|midwestern United States, Colorado, Florida, and South Carolina. Wisconsin Agric. Expt. Sta. Res. Bul. 258. 1966.|fusarium yellows, internal tipburn, powdery mildew Rhizoctonia (bottom rot).|derived by self pollination and mass selection from Resistant Glory.
Gloria (XPH 1058)|Asgrow.|Asgrow.|F1 hybrid, mid-early maturity, round headed shipper, very uniform, holds well in field.|Express (Asgrow) or Viking (Agway).|Mexico. 1984.||
Golden Dynasty (XP 5218017 CMS)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|early maturing hybrid for fresh market; large head size; CMS hybrid with good uniformity and consistent seed production; rounder head than Headstart under cold conditions; head size 17 x 18 cm with 8 cm core; excellent quality for fresh cut end uses.|Headstart, Grenadier.|U.S. 2001.|fusarium yellows; black rot.|F1 hybrid.
Gourmet|Reed.|Ferry-Morse.|hybrid, medium short upright wrappers, slightly flattened.|||yellows; tolerance to thrips, tipburn, black speck.|
Grand Slam (91)|T. Sakata.|Northrup King and Co.|F1 hybrid, highly uniform; tight dome-shaped head.|Rio Verde.|United States. 1978.|tolerance to mildew.|
Great Dane (Hybrid 4)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, very uniform Danish type, late maturity, upright growth habit; suitable for mechanical harvest.|Ferry's Hollander.|midwestern and northeastern United States.|fusarium yellows.|
Green Boy (No.63)|Sakata.|Northrup King and Co.|hybrid, mid-early, round head, medium stem, gray-green color for market or kraut.|||tolerance to yellows. 1968.|
Green Cup|Reed.|Takii.|hybrid, midseason, Bravo class, denser heads, bright green.|||yellows; high tolerance to black rot, tolerance to thrips, tipburn, heat, cold.|
Greenback|Ferry-Morse Seed Company, Detroit.|Ferry-Morse Seed Company, Detroit.|slow to burst or bolt; darker green head color, short core, round, firm and medium size.|Ferry's Round Dutch.|wide. 1956.|cabbage yellows.|Ferry's Round Dutch.
Grenadier|Reed.|Northrup King.|hybrid, gray-green, globe, short cores, Head Start class.|||tolerance to tipburn, thrips.|
Guardian (51018)|Joseph Harris Co.|Joseph Harris Co.|F1 hybrid, medium sized, vigorous plant with good cover and wrap on an early, smooth, round market head that has an excellent solid interior and short core.|Market Victor.|spring and summer growing areas. 1976.|fusarium yellows and bract black rot.|
Harris Resistant Danish Hybrid|Joseph Harris Company, Rochester, New York.||F1 hybrid, uniform Danish type and uniform maturity. Small solid heads (3 to 4 pounds).||northeastern United States and the east coast. Joseph Harris Catalog, 1957. 1954.|yellows.|incompatible Danish Line x Danish Line.
Head Start (H650)|T. Sakata and Co., Yokohama, Japan.|Asgrow Seed Co.|F1 hybrid, market type with slightly flattened globe heads.|Copenhagen Market. Asgrow's 'Your Crops' Dec. 1967.|||
Headmaster (E4202)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, plants have medium large frames on medium long stems, leaves nearly smooth; heads round to slightly flattened, firm, well wrapped, silvery, blue-green leaves.||general except not on muck. 1967.|fusarium yellows.|female selection from Cornell University material.
Heads Up||Harris Seeds.|F1 hybrid, early maturing with uniform plants.|||fusarium yellows.|
Hercules (31)|T. Sakata and Co.|Northrop, King and Co.|hybrid, slightly later than Rio Verde, flat round head, light blue-green color.|Rio Verde. 1972.|||
Hilton (89-886)|Reed.|Nickerson.|hybrid, mid-long term storage, excellent dark wrappers, dark blue-green.|||yellows.|
Hinova|Seedway.|Bejo.|hybrid, processing flat, rounded heads, excellent interior, short cores.|||yellows, tipburn, tolerance to black rot, black speck.|
Hollander Short Stem, NK Strain|Northrup King and Company, Minneapolis.|Northrup King and Company, Minneapolis.|leaf color is darker blue green and the heads are more filled at the base, giving a round, oval shape.|Ferry's strain.|wide. 1950.||Hollander Short Stem.
Huguenot|Southeastern Vegetable Breeding Laboratory, Charleston, South Carolina.||high vitamin C content, cold hardiness, and nonbolting, early and compact.|Copenhagen.|southern regional. Southern Seedsman 7(1):11, 46,1944. 1945.||Charleston Wakefield outcross.
Huron|Petoseed.|Petoseed.|storage hybrid with bright green color, round tapered heads and long storage.|||fusarium yellows, thrips tolerance.|
Hybelle (Badger Hybrid 13)|Department of Plant Path., University of Wisconsin, Madison.||F1 hybrid, very uniform, vigorous; more productive than open pollinated kraut and market types; deep blue-green color; suitable for kraut or market in the northern United States or high-quality market cabbage in the southern United States and Florida.|extremely uniform Globe or Marion Market.|wide. Wisc. Agr. Ext. Sta. Res. Bul., 1967.|Rhizoctonia (bottom rot), black speck, fusarium yellows, internal tipburn, powdery mildew.|Badger Inbred 12 (female) and Globelle (male).
Impala|Seedway.|Bejo.|hybrid, storage, very late, medium dark green, medium tall.|||TMV, black speck; tolerance to tipburn, thrips.|
Induna (XPH5785)||Asgrow.|green ball head, semi-round with excellent holding from market type.|Bravo, Conquest. 1994.||black rot, moderate fusarium yellows resistance.|
Ireland|W. Atlee Burpee Co.|W. Atlee Burpee Co.|||||
Itiro (CB-013)|Rogers Brothers.|Rogers Brothers.|flat head with erect foliage, medium green wrappers.|Kenzan, Matsukase.||black rot.|
