Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
24 Karat (FMX 166)|Ferry-Morse Seed Co.|Ferry-Morse Seed Co.|F1 hybrid, long slender Gold Pak type with smooth cylindrical roots; excellent crack resistance, very good color, no premature bolting tendency.|Trophy.|California and the midwestern United States. 1985.|powdery mildew.|FM inbreds.
A Plus|USDA, Simon and Peterson.|||Imperator. 1983.|||(6439 x 62742) x 8080.
Abaco (PS17193)|R. Maxwell.|Seminis/Petoseed.|very uniform 6 inch Kuroda/Chantenay with high beta-carotene content; early maturity.|Andros.|Caribbean, South America. 1996.|alternaria leaf blight and powdery mildew.|
Ace|Niagara Chemical Division FMC.|Niagara Chemical Division FMC.|long, tapered, deep-colored root, shipping type.|Waltham Hicolor. 1969.|||
Alliance (XP3916)|L. Baker.|Seminis/Asgrow.|very large healthy improved tops, long tapered roots with filled tip; Imperator hybrid.|Apache.|Florida, Colorado, California, Midwest, Canada. 1998.|moderate to Alternaria.|
Alpha Beta||Shamrock.||Imperator.|||
Andros (PS 16993)|R. Maxwell.|Seminis/Petoseed.|early maturing, 7 inch Kuroda/Chantenay with strong tops and high yield.|Abaco.|Caribbean. 1996.||
Annapolis (PX131095)|R. Maxwell.|Seminis/Petoseed.|cello jumbo type, main crop maturity, 9-10 inch long tapered blunt roots, strong tip, maincrop maturity, high yield potential hybrid.|Imperator.|Northeast United States. 1999.||
Apache|ARCO Seed Co.|ARCO Seed Co.|F1 hybrid, strong tops; good early vigor; excellent color and smoothness; good root weight into tip; for bunching or cello.|Imperator.|wide. 1985.|tolerance to alternaria, cercospora.|
Apollo||Chriseed.||Imperator.|||
Apopka|Bassett and Peterson, Florida Agric. Exp. Sta. and USDA.||open pollinated.|Imperator. 1985.|||
Aristo Pak (Hybrid Crk W402)|Crookham Co.|Crookham Co.|F1 hybrid, more uniform than Long Imperator for shape and length; good internal color and strong tops; carries weight well to top of root; high quality.|Gold Pack.|where shipper-type carrots are grown. 1979.||(B3640 x B3080) x Cr 317C.
Asubeni|Sakata Seed America.|Sakata Seed America.|Chantenay type hybrid, mid-early maturity, 8-8.5 inches, very sweet, deep orange color.|Koyo 2gou.|United States. 1992.||
Atlantis [(4367 x 36402) x 3180]|Department of Hort., University of Wisconsin, USDA, Agric. Research Sta.|Department of Hort., University of Wisconsin, USDA, Agric. Research Sta.|F1 hybrid, early crop production.|Imperator 58.|all carrot producing areas. 1987.|tolerance to alternaria.|
Aurora (39144)|Omar Diaz.|Seminis-Petoseed.|long Kureda/Chantenay with good flavor and smoothness, better color and blight tolerance than established cultivars.|Royal Chantenay.|Columbia and Chile. 2000.||F1 hybrid.
Avenger (PSX4986)|Petoseed.|Petoseed.|market hybrid, shipper, high percentage packout.|||powdery mildew. 1989.|
Berlina|Ferry-Morse.|Ferry-Morse.|cylindrical Nantes/Berlicum; 8 1/2 to 9 1/2 inch long, 1 1/2 inch wide, excellent resistance to cracking; heavy yields with good color.|Nantes/Berlicum.|||
Beta III|USDA-ARS and Department of Hort., University of Wisconsin, Agric. Research Sta.|USDA-ARS and Department of Hort., University of Wisconsin, Agric. Research Sta.|open pollinated, good flavor, color, and high carotene.|Imperator 58.|all carrot-producing areas. 1987.|alternaria.|
