Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Agora|Rogers NK.|Rogers NK.|oval to round dark purple fruit, compact sturdy plant suitable for stake or ground culture.||wide.||
AL 1205|DeRuiter.|DeRuiter.|cylindrical purple fruit, 20-30 cm long, vigorous open compact plant, sets well under cool night conditions.||||
Apple Green|New Hampshire Agric. Expt. Sta., Durham.|Colprits, Dover, N.H.|very early green fruit on highly productive upright plants; sets fruit under adverse northern conditions. 1964.||||N.H. x Solanum integrifolium, cultivar Chinese Red.
Avan|Vilmorin.|Vilmorin.|elongate teardrop shape, vigorous plants with high yields, fruit is firm and ships well.||||
Badger State|Wisconsin Agric. Expt. Sta., Madison.||small upright plant, early maturity, slightly elongated fruit.|New Hampshire Hybrid cultivar.|Middle West, especially Northern areas. 1946.||Black Bountiful x Black Beauty.
Bambino (PS 8280)|Petoseed.|Petoseed.|ornamental eggplant for pot culture, dwarf plants about 15' tall, pretty lavender flowers, miniature dwarf black fruit about 1' long are edible.|||tobacco mosaic virus. 1992.|
Barbantane Hybrid|Atlas Seeds.|Atlas Seeds.|long cylindrical fruit, 2 x 10 inch, glossy purple black fruit with green calyx, Baluroi type.|Baluroi.||TMV.|
Beauty (PSR 5978)|Petoseed Co.|Petoseed Co.|F1 hybrid, fruit almost spherical. very dark black to purple and glossy, somewhat smaller than Black Beauty, very early, plant small, green calyx.|Black Beauty.|wide. 1980.|tobacco mosaic virus.|
Berinda|DeRuiter.|DeRuiter.|medium half long type, dark purple, medium vigorous, open plant, uniform grading, excellent shape, suitable for mid early and later crops in greenhouse or open field.||||
Billionaire|W. Atlee Burpee and Co. 2000.|W. Atlee Burpee and Co. 2000.|||||
Black Beauty||Atlas Seeds.|open pollinated cultivar, oval to deep globe shape, smooth dark glossy maroon with green calyx, spineless, suitable for fresh market and home garden.||||
Black Bell (PSR 5975)|Petoseed.|Petoseed.|F1 hybrid, round-oval fruit, very dark black-purple color, fruit size 3.25 x 6 inch, glossy deep purple black color, medium size plant, height 28-30'.|Black Beauty.|wide; commercial and home garden use. 1977.|TMV.|
Black Beret (HMX 2531)|Rosa Dumlao.|Harris Moran.|early, round-oval, holds black glossy color for a longer time than Black Magic, responds well to hormone treatment.|Black Magic. 1989.|||
