Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Ba Leng Gua (ZWRM 135) -||Similar:|low yield of sponges.|Resistance:||Parentage:|Parentage
Fletcher|DeCourley, Missouri.||high yield of high quality sponges with 100x400 mm size.||||
Hollar Luffa (13204)||Hollar & Co.|moderate to high yield of high quality sponges with 97x428 mm size.||||
Leng Si Gua (ZWRM 133) -||Similar:|high yield of moderate quality sponges with 60x350 mm size.|Resistance:||Parentage:|Parentage
Lockhardt (Walters 484)||Lockhardt Seeds.|high yield of moderate quality sponges with 79x489 mm size.||||
Orol Ledden Luffa||Orol Ledden & Sons.|moderate to high yield of high quality sponges with 98x429 mm size.||||
Pang Si Gua (ZWRM 134) -||Similar:|moderate yield of moderate quality sponges with 100x430 mm size.|Resistance:||Parentage:|Parentage
Peace Luffa||Peace Seeds.|moderate yield of high quality sponges with 85x420 mm size, late flowering.||||
Pusa Chikni -||Similar:|attractive fruit, eaten immature. Martin's Vegetables for the Hot, Humid Tropics, 1979.|Resistance:||Parentage:|Parentage
Qing Pi Chang (ZWRM 138) -||Similar:|high yield of moderate quality sponges with 65x595 mm size.|Resistance:||Parentage:|Parentage
Quan Zhou Chang Tiao Gua (ZWRM 141) -||Similar:|high yield of moderate-high quality sponges with 50x180 mm size.|Resistance:||Parentage:|Parentage
Richters Luffa (S3795)||Otto Richter and Sons Ltd.|moderate to high yield of high quality sponges with 98x431 mm size.||||
Shi Ting Da Quing Pi (ZWRM 137) -||Similar:|high yield of moderate quality sponges with 60x540 mm size.|Resistance:||Parentage:|Parentage
Smooth Short Luffa||Seed Saver's Exchange.|fruit short, cylindrical, eaten immature (at 6' long), 90 day maturity. 1981.||||
Sunrise (Walters 401)|||moderate to high yield of moderate quality sponges with 78x495 mm size.||||
USA Luffa (Guatemala)||USA Luffa Inc.|moderate to high yield of moderate quality sponges with 72x464 mm size.||||
White Seed (Decker-Walters 885)||The Cucurbit Network.|mature fruit short, seeds tan with white wings. 1993.||||from Republic of South Africa.
Xiang Si Gua (ZWRM 136) -||Similar:|low yield of moderate quality sponges with 75x315 mm size.|Resistance:||Parentage:|Parentage
