Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Albana|Nunhems.|Canners.|summer and autumn leek, 20-22cm white stem, high yield.||||
Albinstar|Enza Zaden.|Enza Zaden.|||||
Almera (E15505)|Enza Zaden.|Enza Zaden.|||U.S. 1999.||open pollinated.
Arena|Enza Zaden.|Enza Zaden.|||||
Atlanta (E15503)|Enza Zaden.|Enza Zaden.|||U.S. 1999.||open pollinated.
Cisco (Pancho)|Nickerson-Zwaan Vegetable Seeds.|Nickerson-Zwaan Vegetable Seeds.|early maturing; produces leeks with 12 to 16 inch shafts; plants medium green, upright, easy to peel, vigorous; bolting tolerant.|Jolant.|wide; California, Florida, northeastern U.S. 1999.||open pollinated.
Firena|Enza Zaden.|Enza Zaden.|||||
Gabilan (325.012)|Alf Christianson Seed Co.|Alf Christianson Seed Co.|open pollinated, shaft very long and white; no bulbing; leaves are dark green and upstanding; fast growing.|American Flag.|areas with winter temperature -10¬8C. 1984.||
Kamush|Nunhems.|Nunhems.|harvest period September to October, very long white-green stems, stem length approximately 50 cm. 1991.||||
Porino|Nunhems.|Canners.|late autumn and winter cropping, high frost resistance, very dark green leaves, 18-20 cm white stem.||||
Quickstar|Nunhems.|Canners.|very uniform green type with strong leaf growth, easy to harvest.||||
Rami (NUN 4011)|Nunhems.|Canners.|summer leek, very early, 20-24 cm white stem.|Autumn Giant. 1989.|||
Romil (NUN 6015)|Nunhems.|Canners.|suitable for autumn cropping, 22-24 cm white stem. 1989.||||
Tadorna|Enza Zaden.|Enza Zaden.|||||
Vriza (NUN 9005)|Nunhems.|Nunhems.|for winter and late winter harvest, dark green foliage. 1993.||||
Wesa (NUN 8003)|Nunhems.|Nunhems.|dark blue erect foliage, shaft length 18 cm, autumn and winter type. 1993.||||
