Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Alaska (PSX 2673)|Petoseed.|Petoseed.|F1 hybrid, about 70 days early, football shaped fruit 6-9', light salmon colored flesh, netted, larger fruit than Mainrock.|Mainrock.|wide. 1977.||
Alienor|Vilmorin.||charentais type slightly netted to netted, monoecious with excellent eating quality and very good shelf life; vigorous plant with good foliage development spherical to oblong fruit, green gray skin, well ribbed, excellent uniformity of size, average weight 700-900g.|||fusarium wilt races 0, 1, 2. 1987.|
All Star (HXP 3587)|T.Superak.|Harris Moran.|shipping melon adapted to southern and eastern environments, high yields, disease resistance, good melon quality and good fruit size.|Magnum 45. 1985.|||
Alwaha (FMX 44)|H.Sakamoto.|Ferry-Morse.|a more completely netted Ananas type with large size, yellow-orange color, excellent taste and aroma; vigorous vines with good cover.|Ananas. 1985.|||
Ambrosia|W. Atlee Burpee Company.|W. Atlee Burpee Company.|F1 hybrid, densely netted, extremely thick flesh with small seed cavity; sweet, firm, juicy flesh of light salmon color.||wide. 1975.|powdery mildew.|
American Sweet (25421)|Eldon Heersink.|Seminis-Petoseed.||New Dragon.|Caribbean, South America. 2000.||F1 hybrid.
Anasta (XPH 6115)|Asgrow.|Asgrow.|fruit oval-round, weigh 1.5 kg, rind slightly netted, flesh greenish yellow when mature.|Ananas. 1993.||powdery mildew and fusarium wilt races 0, 1, 2.|
Apollo (RML 5292)|Novartis Seeds.|Rupp Seeds.|cantaloupe; large fruit with good internal quality and excellent flavor.|Superstar.|midwestern and northeastern U.S. 1998.|fusarium wilt race 0, 1, 2; powdery mildew race 1, 2.|F1 hybrid.
Aquila (XPH 6244)||Asgrow.|round western shipper that produces a very pronounced net under extreme heat stress conditions.|Caravelle. 1995.||fusarium wilt.|
Aragon (XPH 5094)|Asgrow.|Asgrow.|a western shipper type, round sutureless, small seed cavity, even close net, makes size under stress conditions.|Laguna. 1986.|||
Argonaut (NVH 886)|Northrup King.|Northrup King.|slight oval melon with a heavy net covering sutures; dark orange flesh.|||powdery mildew 1, 2; fusarium wilt races 0, 2. 1989.|
Arizona 13|University of Arizona, Tucson.||smaller, sweeter, better appearing fruit, vigorous vines, good coverage, prolific.|Imperial 45.|southwestern United States. Southern Seedsman, November, 1943.||Imperial 45 x AZ (AZ-selection from Superfecto).
Arizona Sunrise|University of Arizona, Tucson.|Arizona Crop Improvement Assn.|10 days earlier than PMR 45, concentration of early yield, prolific, fruit more spherical, better net, better sutures, higher sugar.|PMR 45.|southwestern United States. Progressive Agr. VI (4), 1955.|slight to crown blight.|Hale's Best 936 x ((PMR 45 x Jap) x AZ).
Aurora (AC 68-52)|J.Norton.|Auburn Univ.|large fruit, high quality, orange flesh color.|Planters Jumbo. 1984.||gummy stem blight, downy mildew, powdery mildew.|
Azuero Gold (XP 6109)|David Dean.|Seminis-Asgrow|Canary type melon, excellent quality, medium, to large fruit, bright yellow in color.|Doral.|Central America. 2000.||F1 hybrid.
Baby Slip|Hollar and Company, Rocky Ford, Colorado.||matures full slip stem in about 85 days; size small, 5.5-6', weight 2.5-3.5 pounds, holds well when picked fully ripe, green fleshed, very sweet.|Honey Dew.|general. Hollar and Company, 17 May 1963.||
Barada (XP 917)|Asgrow.|Asgrow.|open pollinated, early maturity and uniformity.|Ananas. 1981.|||
Bartlett|Breeder and|W. Atlee Burpee and Co. 1999.|||||
Big Daddy|P. Yorty.|Musser.|large, vigorous plants; fruit have a medium net with thick pale orange flesh, fruit avg. 6-8 lb. and are basically round.|Hales Best Jumbo. 1982.|||
Brilliance|Breeder and|American Takii.|honeydew; large fruit; good shipping quality.||||
Buccaneer (NVH 877)|Northrup King.|Northrup King.|fruit are slightly oval, 6-6.5', moderate sutures, fine netting covers the fruit, thick flesh is bright orange, matures in about 76 days, home garden, truck farm type.|Supermarket. 1983.||powdery mildew, downy mildew.|
Burpee Early Crenshaw|W. Atlee Burpee Company.|W. Atlee Burpee Company.|F1 hybrid, typical thick flesh of Crenshaw melon, but early enough to be grown in most parts of the United States.|Crenshaw.|wide. 1968.||
Burpee Hybrid|W. Atlee Burpee Company, Philadelphia.|W. Atlee Burpee Company, Philadelphia.|F1 hybrid, early, medium large fruit, heavy net, medium deep ribs; high quality, thick, orange flesh.||wide. Burpee catalog, 1955.|fusarium wilt.|
