Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
6060 Freezer|Canners Seed Corp. PVP 7600016.|Canners Seed Corp. PVP 7600016.|||||
7025 Early Sweet|Canners Seed Corp. PVP 7600013.|Canners Seed Corp. PVP 7600013.|||||
8221 Early Perfection|Canners Seed Corp. PVP 7500104.|Canners Seed Corp. PVP 7500104.|||||
8615 Early Perfection|Canners Seed Corp. PVP 8000064 (withdrawn 12/95).|Canners Seed Corp. PVP 8000064 (withdrawn 12/95).|||||
8617 Early Perfection|Canners Seed Corp. PVP 7500090.|Canners Seed Corp. PVP 7500090.|||||
9000 Freezer|Nunza B.V. PVP 8700051.|Nunza B.V. PVP 8700051.|||||
9021 Early Perfection|Canners Seed Corp. PVP 8000065 (withdrawn).|Canners Seed Corp. PVP 8000065 (withdrawn).|||||
9888 Freezer|Nunhems Zaden B.V. PVP 7800059.|Nunhems Zaden B.V. PVP 7800059.|||||
9889 Freezer|Canners Seed Corp. PVP 7800060 (withdrawn).|Canners Seed Corp. PVP 7800060 (withdrawn).|||||
9901 Canner|Canners Seed Corp. PVP 7800061 (withdrawn).|Canners Seed Corp. PVP 7800061 (withdrawn).|||||
Abador|Seminis Vegetable Seeds. PVP 7400085.|Seminis Vegetable Seeds. PVP 7400085.|||||
Accord (XP C56)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, medium sieve, indeterminate, Alaska, mostly double podded with few triples and singles.|Alaska 14A.|wide.|fusarium wilt race 1.|M61180 x Alsweet.
Adeline (SVC 104)|Stokely-Van Camp.|Stokely-Van Camp.|early, small sieve, very high yielding, good quality, determinate, double podded.|Alaska 28-57.|major Alaska production areas of the United States. 1965.|common wilt.|Selection of Alaska 28-57.
Aim (XPC206)|Asgrow.|Asgrow.|second early canner with high yield.|Rally. PVP. 1989.||fusarium wilt race 1.|
Aladdin|Novartis Seeds, Inc. PVP 9400011.|Novartis Seeds, Inc. PVP 9400011.|||||
Alaska 28-57 (Alaska, Wilt Resistant Alaska)|University of Wisconsin, Madison.|University of Wisconsin, Madison.|early maturing, relatively good yield and canning quality.|Alaska.|United States. 1936.|fusarium wilt.|First and Best cross.
Alaska 7|Asgrow Seed Company, New Haven, Connecticut.|Asgrow Seed Company, New Haven, Connecticut.|high yielding, small berried Alaska.|Alaska.|wide. Asgrow, Your Crops, Winter, 1959.|fusarium wilt.|
Alcan (Canner 69-190)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|open pollinated, early smooth-seeded Alaska-type canner, determinate vine; smaller size than Early Alaska; pods borne mostly two and three per node.|Dot.|wide. 1980.|fusarium race 1.|
Alderman Improved B|Ferry-Morse Seed Company, Mountain View, California.|Ferry-Morse Seed Company, Mountain View, California.|a larger seeded rounder podded Alderman type.|Alderman.|Pacific coast. Ferry-Morse Seed Company, 15 April 1963.|fusarium wilt.|
Alfi (XPF225)|Asgrow.|Asgrow.|this is a name change from Diva; small sieve, afila freezer.|Dinos. PVP. 1990.||fusarium wilt race 1.|
Almota|A.G. Gustafson, Seedsman. PVP 7500038.|A.G. Gustafson, Seedsman. PVP 7500038.|||||
Alpha I|Wilbur-Ellis Co. PVP 7900120.|Wilbur-Ellis Co. PVP 7900120.|||||
Alpine (XP-PB-2)|Asgrow Seed Co.|Asgrow Seed Co.|midseason freezer.|Pluperfect.|general. 1963.|fusarium wilt.|
