Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Abnaki|Akeley, Murphy, Cetas, USDA; and Correll, U. Maine.||not in production; high yield of white, round tubers; late maturity, good for tablestock, medium tuber solids.||northeast United States. American Potato Journal 47:229. 1970.|verticillium wilt, leafroll induced net necrosis.|USDA X1276-185 x B4116-2.
AC Belmont (F70021)|Tarn, Ag. Canada, New Brunswick.||medium-high yield of round, white tubers; early maturity, good for tablestock, low tuber solids, short dormancy.||produced primarily in Atlantic Canada, valid 1996. American Potato Journal 72:409. 1988.|fusarium tuber rot.|Raritan x F51013.
AC Blue Pride (N1522-8)|K.G. Proudfoot, Agr. Canada, Newfoundland.|Provincial Government Seed Farm, Glenwood, Newfoundland.|medium high yield of long, blue-purple tubers; midseason maturity, good for tablestock.||Newfoundland conditions.|Potato Wart Disease.|N713-16 x N889-78-3.
AC Brador (F73008)|Tarn, Ag. Canada, New Brunswick.||not in production; medium yield of oblong, white tubers with yellow flesh; late maturity, good for tablestock or french fries, high tuber solids, long dormancy, bred for export.|||late blight, verticillium wilt, early blight; tolerance to pea leaf roll virus. American Potato Journal 72:401. 1991.|F61101 x F60034.
AC Chaleur|Tarn, Ag. Canada, New Brunswick.||medium-high yield of round, white tubers; medium-early maturity, good for tablestock, low tuber solids, medium dormancy.||produced primarily in Atlantic Canada, valid 1996. American Potato Journal 72:393. 1988.|PVY.|Belleisle x N457.
AC Domino (N1051-1)|Proudfoot, Ag. Canada, Newfoundland.||not in production; high yield of round, purple tubers; late maturity, good for tablestock, high tuber solids, medium dormancy.|||golden nematode, moderate-late blight. Potato Varieties in Canada, 1991. New Brunswick Department of Agric. 1990.|Blue Mac x SVP AM66-42.
AC Novachip (F77087)|DeJong, Ag. Canada, New Brunswick.||medium-high yield of oblong, white tubers; medium maturity, good for tablestock, potato chips, medium tuber solids, medium dormancy.||produced primarily in Atlantic Canada, northeastern United States, valid 1996. American Potato Journal 72:417. 1990.|common scab.|F68061 x F66011.
AC Pink Pearl (SJ62.26-9)|K.G. Proudfoot, Agr. Canada, Newfoundland.|Provincial Government Seed Farm, Glenwood, Newfoundland.|high yield of numerous oval pink skinned tubers; very late maturity; good for tablestock; long dormancy.||Newfoundland conditions.|Potato Wart Disease.|Ultimus x Katahdin.
AC Ptarmigan (F76080)|Lynch, Ag. Canada, Alberta.||medium yield of oval, lightly russetted tubers; early maturity, good for tablestock, chips, field delivery, low tuber solids, medium dormancy.||produced primarily in the prairie provinces of Canada, valid 1996. American Potato Journal 71:387. 1993.|common scab.|ND6993-13 x F59103.
