Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Aladdin (HMX 6689)|Ted Superak.|Harris Moran.|Cucurbita pepo pumpkin; strong vine; large fruit, round to tall shape, averaging 12 inches in width and 15 inches tall; weight ranges 30 to 50 lb.; large handle, firmly attached, deep orange color with moderate ribbing; thick wall.||U.S. 2002.|tolerant to powdery mildew.|F1 hybrid.
Alagold (African Squash)|Alabama Polytechnic Institute, Auburn.|Hastings.|cylindrical to somewhat bell shape, very small seed cavity, deep golden flesh of high quality, stores excellently, sweet flavor; like Butternut except the flesh is soft and the fruit larger.|Butternut.|southern half of the United States. 1947.||from mixed seed that came into this country from Africa.
Allneck Cushaw|G.H. Hastings Company, Atlanta, Georgia.|G.H. Hastings Company, Atlanta, Georgia.|very long, solid necks, small seed cavity.|Striped Cushaw. Hastings catalog, 1952.|||Green Striped Cushaw.
Appalachian (PSX 10200)|Waltrip.|Petoseed.|creamy exterior, about 12 lb, medium size, bright orange flesh, unique type.||||
Apprentice (HMX 5682)|Ted Superak.|Harris Moran.|mini pumpkin type; fruit 1 lb or less; hard shell; round shape; high yield; unique.||U.S. 2003.||F1 hybrid.
Aspen|Hollar.|Willhite.|vigorous, semi-bush vine; large fruited, 20 lb, rich orange color; large, sturdy handles; stores and ships well. 1992.||||F1 hybrid.
Atlantic Giant||Willhite.|large 'contest' pumpkin commonly weighing 50-100 lb, but can weight much more; pinkish or orange fruit; 115 days.||||
Autumn Gold|Musser Seed Co.|Musser Seed Co.|F1 hybrid, early orange fruit color development permits culture in areas where other cultivars may not mature, seven to ten pound fruits.||wide. 1987.||
Autumn King (RWS5668)|Seeds By Design.|Seeds By Design.|25 lb, jack-o'-lantern class, very dark orange color, strong handles. American Vegetable Grower, 1999.||||
Baby Bear|R. Johnston, Jr.|Johnny's.|unique size, a scaled down version of a classic Jack-O-Lantern, fruit average 5-6' diameter, 3.5-4' height, 1.5-2 lb, slender stem averaging 3', deep, bright orange, semi-hulless seeds.|New England Pie. PVP. 1992.||fusarium; tolerance to gummy stem blight.|
Baby Boo|J.Jaunsem. PVP. 1990.||||||
Baby Pam|Seedway.||uniform, 5x5' fruit; deep orange, smooth rind; deep orange flesh, good for pies and as ornamental; long, sturdy handles; vigorous vines produce a dozen or more quality fruit per plant; 100 days.||||
Big Autumn (87S259)|P.Yorty.|Musser.|early orange fruit color development permits culture in areas where other cultivars may not mature, fruit weigh 15 lb compared to 9 lb for Autumn Gold.|Autumn Gold. 1989.|||
Big Max||Twilley Seeds.|up to 100 lb; pinkish-orange rind with bright yellow flesh 3-4' thick; good cooking quality. Twilley Catalog, 1989.||||
Big Moon (PSR 853)|Petoseed Co.|Petoseed Co.|open pollinated, very large, medium orange, ribbed with slightly rough texture on very large vine; seeds large and brown; one or two fruit per vine.|Big Max.|wide. PVP. 1978.||
Bookin|Market More. 1989.|Market More. 1989.|||||
Buckskin (PS10295)|Petoseed.|Petoseed.|dark orange flesh, buff color vine, excellent for pumpkin pie, large vine.||||
Bushkin (VP)|W. Atlee Burpee Co.|W. Atlee Burpee Co.|open pollinated, bush-type, naked seeded, golden orange, eight to ten pounds with good flesh for pies, nearly hulless seeds for eating raw or roasted.|Cinderella.|wide. PVP 8400138. 1985.||
Cangold|Department of Hort., Iowa State College, Ames.||oblong shaped fruit, weighing 9-15 pounds; flesh deep yellow in color, 2-3' in thickness; poor seed maker because of small seed cavity; yield of about one mature fruit per plant.|Kentucky Field.|mid-central United States from Iowa through Pennsylvania. 1953.|not tested.|Kentucky Field selfed and sibbed.
Casper (EXP3812)|J.Howell.|Shamrock.|smooth, waxy, white skin, some with slight bluish tints; flesh dark orange up to 1.5' thick, excellent for baking and Mexican candy making; fruit 8-15 lb.|Lumina. 1992.|||
Cheyenne Bush|Hort. Field Sta., USDA, Cheyenne, Wyoming.||extremely early bush pie pumpkin.||Great Plains. Mimeograph, USDA. 1943.||Cocozelle x New England Pie.
Cinderella|Illinois Agric. Expt. Sta. and Joseph Harris Company.|Joseph Harris Co.|early, true bush vine with medium size fruit free of pressure ridges.|Youngs Beauty.|northern United States. Joseph Harris Company Catalog, 1971.||
Connecticut Field|||fruit are large, round, flattened at ends, weighing 15-25 lb; flesh is thick, orange-yellow, sweet but coarse; grown mostly for stock feed and Halloween decoration; 120 day maturity. Eastern States Farmers Exchange Catalog, p. 18, 1962.||||
Dickinson||Northrup King.|fruit is 12-16' x 12-14', weight 12-16 lb, mostly elongated round; flesh orange, coarse, sweet and good quality; longer and more uniform shape than Kentucky Field; used for canning and livestock. Northrup King Company GS-7-5 catalog, 1958.||||
Dills Atlantic Giant|Howard Dill Enterprises. PVP. 1985.||||||
Early Autumn|Rogers Seed.|Rogers Seed.|round, medium orange fruit; can be harvested early or in full mid-season when it weighs 12 lb. American Vegetable Grower, 1996.||||
Early Buckskin (PS 971676)|John Bill.|Seminis Vegetable Seeds, Petoseed Brand.|open pollinated, large vine, early maturing, buff color, 11 lb fruit with fine texture and dark orange flesh.|Buckskin.|processor, U.S. 1998.||
Early Cheyenne Pie|Hort. Field Sta., USDA, Cheyenne, Wyoming.||early maturity and small fruit.|New England Pie.|Rocky Mountains and Great Plain region. USDA Circ. 537. 1939.||selection from New England Pie.
Eastern 7 x 7|Eastern States Farmers Exchange, West Springfield, Massachusetts.|Eastern States Farmers Exchange, West Springfield, Massachusetts.|round, 7 x 7-inch fruit for Halloween and pie.|New England Pie.|New England. Eastern States Farmers Exchange Catalog, 1959.||selection from New England Pie.
Fairy Tale||Rupp Seeds.|hybrid; 30-80 lb fruit, unique orange-brown skin, unique shape and flavor, 100 days.||||
First Prize||Liberty Seed.|contest-size; bright orange 80-300 lb fruit; 120 days. 2000.||||
Fortuna|Puerto Rico Agric. Expt. Sta., Rv?o Piedras.|Puerto Rico Seed Farms Division, Agric. Expt. Sta.|medium uniform fruit, high in carotene; very prolific.||tropics. 1950.|downy mildew, mosaic.|seven generations of selection from a native strain.
Frosty||Twilley Seeds.|hybrid; bright orange, 10' diameter fruit; bush habit; ships and stores well. Twilley Catalog, 1992.||||
