Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Aden Hybrid (Hybrid 4 Late Savoy)|Corneli Seed Company, St. Louis.||upright, long-standing, vigorous, savoyed.|Bloomsdale Long Strain.|wide. Corneli Catalog 15. 1958.|mildew and mosaic.|224.223 x Commercial Line.
Ambassador (XPH 1509)|Asgrow.|Asgrow.|vigorous, fully savoyed hybrid with dark green, heavily bodied leaves, plants are semi-erect for machine harvesting, fresh market use.|Kent. 1988.||downy mildew 1, 2.|
America|N.V. Sluis en Groot, Enkhuizen, Holland.|N.V. Sluis en Groot, Enkhuizen, Holland.|deep dark green color, matures; later than other Bloomsdale cultivars; extremely slow bolting.|Bloomsdale Longstanding Dark Green.|long day conditions and spring sowing. Contract list, Sluis and Groot. 1952.||Bloomsdale Dark Green x Viking.
Avenger (RS 1037)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|Ballet type, round leaves of good size with deep green color, tolerant to rotting, good performance, less vigorous than Ballet.|Whale.|U.S. 2001.|downy mildew.|F1 hybrid.
Avon|Alf Christianson.|Alf Christianson.|F1 hybrid, dark green, medium long standing, semi-savoy for early spring planting.|Vienna.|eastern United States. 1971.|tolerance to blight and mildew.|
Baby Green (DPSX 7002)|Agrotip.|D. Palmer Seed Co.|dark green, slightly bubbled rounded leaves.|Unipak.|worldwide. 2000.|downy mildew race 5.|F1 hybrid.
Baby's Leaf|W. Atlee Burpee and Co.|W. Atlee Burpee and Co.|||||
Badger Savoy|University of Wisconsin, Madison.|University of Wisconsin, Madison.|very savoy, very long standing.|Dixie Market and Virginia Savoy. 1960.|nationally.|blue mold.|complex, not disclosed.
Baker (60)|Alf Christianson.|Alf Christianson.|F1 hybrid, dark green, smooth, leaf; moderately slow bolting.|Hyfor.|fall and spring spinach growing areas. 1981.|tolerance to downy mildew, races 1, 2, and 3.|
Basra (Hybrid 8 Early Savoy)|Corneli Seed Company, St. Louis.||upright, quick growing, savoyed.|Dixie Market.|wide. Corneli Catalog 15. 1958.|mildew and blight.|228.223 x selection of commercial cultivar.
Bismark (EO218 (18D-X4))|Ferry-Morse.|Ferry-Morse.|F1 hybrid, dark green semi-savoy type, medium short petiole, rounded leaves, medium to slow bolting.|Emerald and 7241.|California and Wisconsin.|spinach blight cucumber mosaic virus, common races of blue mold.|
Blackhawk (RS 06601122)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|main season, summer-flowering type for sales February to May; vigorous upright plant with good heat tolerance; dark color; for processor and fresh market.|Whale, Boeing.|NAFTA. 2004.||F1 hybrid.
Boeing (RS 0669 1037)|John Purcell.|Seminis Vegetable Seeds-Royal Sluis.|mid to late maturity, monoecious; round leaves of good size with deep green color, tolerant to rotting.|Ballet.|U.S.|downy mildew.|F1 hybrid.
Bolero|Royal Sluis.|Royal Sluis.|smooth leaf, dark green color, processing type, but some fresh market use.|Polka. 1991.||downy mildew 1, 2, 3, 4.|
Bossanova|Royal Sluis.|Royal Sluis.|smooth leaf, fresh market type.|Polka. 1991.||downy mildew 1, 2, 3, 4.|
Bounty (66S22)|USDA, New Jersey Agr. Exp. Sta. and Arkansas Agr. Exp. Sta.||long standing dark green, adapted to spring production.|||tolerance to blue mold 1 and 2. 1970.|USDA breeding line x America.
Bouquet (66S9)|USDA, Beltsville, Maryland.|various seedsmen.|long standing, large, flat, dark green leaf, good processor; outstanding in hybrid combination.|Northland-Norgreen.|northern half of United States for spring and summer. 1972.|downy mildew.|[(Northland x S578) x Northland (2)].
