Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
ACX 45A (ACX 45A)|Abbott and Cobb.|Abbott and Cobb.|very dark green zucchini, glossy, smooth, cylindrical 5-7' fruit, very vigorous, open plant, matures in 49 days.||Texas and southwestern U.S. Melon, Cucurbit Pocket Seed Guide, American Vegetable Grower and Florida Grower Magazine. 1999.|tolerance to ZYMV and WMV-2.|
All Season (87 S 236)|P.Yorty.|Musser.|usable at all stages of development, richer flavor than summer squash, 2 lb fruit size, medium size bush plant.|Gold Nugget. 1988.|||
Allegre (5716)||Takii.||Onyx. 1991.|||
Allie|J. Bush.||long white squash. PVP pending. 1997.||||
Ambassador (189-180-4)|Petoseed Co.||very early Zucchini type; open habit; very prolific; good cylindrical shape; straight.|Zucchini Hybrid but darker green.|wide. 1967.||hybrid of two inbreds.
Ambercup||Johnny's Selected Seeds.|hybrid, scarlet kabocha winter squash; bright, orange-red skin, moderately ribbed; medium sweet taste but not as good as gray or green-skinned cultivars; 4-5 lb; stores well; 3-4 fruit per plant; 95 days.||||
Apollo (ZK)|Joseph Harris Company.|Joseph Harris Company.|hybrid, early, open bush plant with heavy yield; long green fruit.|Zucchini hybrids.|general. Joseph Harris Catalog, 1970.||
Aquarius (NVH 3753)|Northrup King.|Northrup King.|light zucchini type, upright open bush, flecked medium green, straight fruit, early-midseason.|Senator, Zucchini Elite. 1981.|||
Argus (XPH 1247)|Asgrow.|Asgrow.|very long light green fruit, extremely productive, open plant.|Marvella types, Sarzanese.|||
Ariadne||Harris Moran.|||||
Autumn Cup||Liberty Seed.|hybrid buttercup; reduced button at blossom end; deep orange, high quality flesh; semi-bush plant; 95 days.||||
Autumn Delight (PS 10705)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|acorn squash, compact plant, very strong semi-bush, standard size fruit, dark green color early after fruit formation.|Table Ace.|northeast U.S.; commercial and home garden. 2001.|powdery mildew.|F1 hybrid.
Autumn Glow|W. Atlee Burpee and Company. 2000.|W. Atlee Burpee and Company. 2000.|||||
Autumn Pride (XP O25)|B.Loy.|University Hew Hampshire.|bush plant bearing generally one large fruit per plant, fruit pale pink with thick orange flesh.|Blue Hubbard. PVP. 1983.|||
