Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
720 (Crisp N Sweet (TM))|Crookham.|Crookham.|homozygous shrunken-2; a narrow kernels processor type.|711 (Crisp N Sweet(TM)) but 5 days later. 1989.||Ht; single gene resistance to Ht1.|
730BC (Crisp N Sweet (TM))|Crookham.|Crookham.|full season bicolor homozygous shrunken-2 sweetcorn designed for southern, long haul shipping markets.|Honey N Pearl. 1989.||Ht.|
Abalone|Seed Res. Specialists.||Narrowgrain class, white kernels. 1963.||||
Absolute (PX 7404 SEB)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|mid-season, SE, bicolor, large ear, nice package, high quaity, 8-9 inch ear, 16-18 row count, 80 days to maturity.|Lancelot, Sensor, Delectable.|northeast U.S. fresh market. 2001.|intermediate to common corn rust and Stewart's bacterial wilt.|F1 hybrid.
Acclaim (Cr8401)|Crookham.|Crookham.|mid-main processor type.|Reward. 1989.|||
Accolade|Crookham Company.|Crookham Company.|early mid-season, white, sh2.||||
Achiever (AV 2524)|Sunseeds.|Sunseeds.|F1 hybrid, sugary1, sulsu1 81 day maturity; white silks, yellow kernels. 18-20 row whole kernel processor type.||wide.||
Advance (CXP 514)|W.Whitwood.|Musser.|86 day maturity, ears enclosed in dark green, long husk with many flags, ears have high row count with deep, narrow kernels, road market, shipping and processing. 1984.||||
Albertagold|Seed Res. Specialists.||Spancross class, yellow kernels. 1960.||||
Alexis|Crookham.|Crookham.|main season, yellow shrunken-2 processor.|Tribune. 1994.||northern corn leaf blight.|
Allegro (XPH 2668)|Asgrow.|Asgrow.|early, good kernel style and yield, yellow.|Rival. 1988.|||
Alliance|Johnny's. 1994.|Johnny's. 1994.|||||
Aloha (BSS86-3880)|Rogers.|Rogers.|mid-season bicolor supersweet hybrid with uniform ears, good fresh market package and excellent eating quality. 1990.||||
Alphabest|Michael-Leonard Company.||65 day maturity, 1495 GDD, Carmelcross class, yellow kernels, 10-8 rows. 1946.||||
Alphagold|Michael-Leonard Company.||62 day maturity, 1426 GDD, Spancross class, yellow kernels, 12-10 rows. 1943.||||
Alpine (WH 3115)|L.Hansen.|Rogers.|early mid-season white hybrid containing the se gene in the heterozygous state; fresh market hybrid with an attractive ear and superior eating quality.|Snowbelle. 1988.||common rust, stewarts bacterial wilt.|
Amaize|Crookham.|Crookham.|homozygous se with superior plant and ear characteristics, excellent early vigor, high rowed, excellent eating quality.|Bodacious, Incredible bicolor. 1989.||good tolerance to stewarts wilt.|
Amaizingly Sweet (FMX 332)|Ferry-Morse.|Ferry-Morse.|82 day maturity, bicolor shrunken-2, well filled ears are very attractive with long dark flags and dark green husk, ears 7.5-8.5' x 1.9-2.0', cylindrical to slightly tapered ear, 18-22 rows.|Hudson.||Rp1 rust, tolerance to heat smut.|
Ambrosia|Crookham.|Crookham.|main season bicolor.|Incredible bicolor. 1989.|||
American Beauty|O. and G.|O. and G.|F1 hybrid, bird resistant, extra good husk and well filled tips.|Golden Cross.|northern and central states. 1968.|smut and ear worm.|
Apache (XP 358)|Asgrow.|Asgrow.|hybrid, high yielding, superior plant type and snapped ear appearance, good tip fill and ear size.|Gold Cup.|general. 1972.|H. turcicum and bacterial wilt.|Asgrow inbreds.
Appaloosa|Robson.|Robson.|sh2, bicolor.||||
Arctic First (F7793)|Morden Res. Sta., Morden, Manitoba, Canada.|T and T Seeds.|dwarf plants, 3.5' tall, small ears, very early maturity.||northern Canada. 1958.|tolerance to cold.|Altagold x Early White Flint.
Argent|Crookham.|Crookham.|excellent eating quality, mid-season.|Pristine. 1989.|||
Aristogold Bantam|Seed Res. Specialists.||82 day maturity, 1886 GDD, Golden Cross class, yellow kernels, 14-16 rows. 1941.||||
Aristogold Bantam Evergreen|Michael-Leonard Company.||87 day maturity, 2001 GDD, Golden Cross class, yellow kernels, 16-18 rows. 1942.||||
aRRestor|Sunseeds.|Sunseeds.|F1 hybrid, sugary1, sulsu1, hybrid; 84 day maturity; white silks, yellow kernel processor type.|Commander.|midwestern and northeastern United States.|races of common rust, Puccinia sorghi.|
Arrow II (SX 7202 SE 4)|Manuel Rosas.|Seminis Petoseed.|se, yellow, 72 days, ears 8-9' long, 14-16 rows. 1999.||||
Arsenal (XPH 3050)|Asgrow.|Asgrow.|good seed quality, full season maturity, single gene resistance Rp1 to rust, high yield and recovery, low level resistance to smut, SLV.|More. 1993.|all areas that produce processing sweetcorn.|stewarts wilt and anthracnose.|
Asgrow Golden 22|Asgrow.||79 day maturity, 1553 GDD, Carmelcross class, yellow kernels, 12-16 rows. 1951.||||
Asgrow Golden 60|Asgrow.||87 day maturity, 1753 GDD, Golden Cross class, yellow kernels, 12-18 rows. 1954.||||
Assure|Crookham Company.|Crookham Company.|main season, yellow, sh2, processor.||||
Athos|Crookham.|Crookham.|early, heterozygous se bicolor type.|DArtagnan. 1993.|||
Atlas (Xl)|Asgrow.|Asgrow.|F1 hybrid.|Iochief, but with white internal silks and better kernel quality.|wide. 1963.|bacterial wilt.|closed; Asgrow inbreds.
Aurora|Crookham.|Crookham.|mid-season white shrunken-2 supersweet.|How Sweet It Is. 1993.|||
Avalanche (344x360)|D.Galinat.|Mesa Maize.|early midseason, homozygous se white type, very high eating quality.|Summer Flavor 81W. 1993.|||
Aztec (XP 1343)|Asgrow.|Asgrow.|F1 hybrid, early market, about 68 day maturity, tall, vigorous, nearly suckerless plants.|Earlibelle.|northern regions. 1974.|stewarts wilt; tolerance to corn smut and one variant of maize dwarf mosaic virus.|
Bandit|Harris Moran.|Harris Moran.|81 days, sh2 yellow.||||
Banner (Hyb. 70-3044)|Rogers Brothers.|Rogers Brothers.|F1 hybrid, full season yellow, well suited for processing and market.|Commander.|wide. 1980.|tolerance to stewarts wilt, common smut, and WSMV.|
Barbecue|Massachusetts Exp. Sta.|Crookham Company.|86 day maturity, Carmelcross class, yellow kernels, 12 rows. 1955.||||
Basin (XP 8492829)||Seminis Vegetable Seeds-Asgrow Brand.|shrunken 2 yellow processing type; full season maturity (81 days); average ear length of 9 inches (229 mm), with 16 to 18 rows per ear and an average diameter of 1.8 inches (46 mm).|Super Sweet Jubilee, Zenith, Challenger.|NAFTA processing areas. 2002.|common corn rust race 0, intermediate to maize dwarf mosaic.|F1 hybrid.
BC 0801|Novartis.|Novartis.|79 days, Bicolor, se.||Northeast U.S.|common rust (Rp1d).|
Beacon (Hybrid 1707)|Rogers Brothers Company.|Rogers Brothers Company.|F1 hybrid, higher row number and better quality than Spancross.|Spancross. 1975.|||
Belgold|Charter.||78 day maturity, Carmelcross class, yellow kernels, 14-16 rows. 1949.||||
Bellegold|Joseph Harris Company.|Joseph Harris Company.|hybrid, second early yellow with good husk and ear appearance and size for fresh market; adapted to mechanical harvest.|Sundance.|eastern United States. 1980.||
Bellewood (XP 337)|Asgrow.|Asgrow.|hybrid, single ear for mechanical harvest.||eastern United States. Asgrow Catalog. 1969.|H. turcicum.|
Bellringer (X281)|Joseph Harris Company.|Joseph Harris Company.|F1 hybrid, early to midseason, 77 day maturity, yellow market corn, 7.5-8' ear, 12-16 rows, medium tall, dark green plant; average quality.|Northern Bell.|northern United States and Canada. 1975.||
Beretta (Fmx 333)|Ferry-Morse.|Ferry-Morse.|yellow, normal sugary-1 processing corn, ear has good tip fill, adequate husk cover, plant height 6-7.5', ear height 16-24'.|Reward, GH1703.||moderate rust tolerance and head smut resistance.|
Big Chief|Joseph Harris Company.||87 day maturity, Late Golden Cross class, yellow kernels, 16-18 rows. 1960.||||
Big Golden Cross|Connecticut Agric. Exp. Sta.||Golden Cross class, yellow kernels. 1947.||||
Big Ioana|Connecticut Agric. Exp. Sta.||Late Golden Cross class, yellow kernels. 1946.||||
Big Lee|Connecticut Agric. Exp. Sta.||Early Golden Cross class, yellow kernels. 1947.||||
Big Lincoln|Connecticut Agric. Exp. Sta.||Early Golden Cross class, yellow kernels, rows. 1947.||||
Big Time|Novartis.|Novartis.|79 days, Bicolor, sh2.||Florida.|Common Rust (Rp1d).|
Bi-Guard|Harris Moran.|Harris Moran.|77 days, su, bicolor.||||
Bi-Licious (CSEXP 323)|Dr.Whitwood.|Charter.|high quality bicolor 8.5' ears, 14-16 rows, excellent husk protection roadside, home garden, heterozygous se, good cold tolerance and early vigor, dark green plant, long flags.|Peaches and Cream. 1994.||rust, stewarts wilt, northern corn leaf blight, smut.|
Binar (XPH 2640)|Asgrow.|Asgrow.|very sweet, large eared, bicolor shrunken-2.|Peter Corn. 1991.|||
Bingo|Crookham.|Crookham.|early processing type hybrid with leaf rust resistance, high row count and a narrow deep kernel style.|||leaf rust, common maize rust. 1989.|
Bi-Queen (Hybrid Bi-Color Silver Queen)|Rogers Brothers Company.|Rogers Brothers Company.|F1 hybrid, bicolor version of Silver Queen; very tender pericarp and very sweet.|Golden Queen. 1975.|||
Blanco|Big Crop.||food corn. 1989.||||
Blaze|Crookham.|Crookham.|main season, processing type hybrid with single gene resistance to leaf rust and tolerance to northern corn leaf blight; large ear and a narrow deep kernel which will result in good field and plant recovery. 1992.||||
Blazer (SE129)|Illinois Foundation Seed.|Mesa Maize.|very early yellow homozygous sugary enhancer, good plant and ear, exceptionally tender.|Precocious. 1993.|||
Blitz (V179)|Joseph Harris Company.|Joseph Harris Company.|F1 hybrid, early 66 day maturity, yellow, good quality, 6.5-7' ear, 10-14 rows; short plant.|Earliking, Royal Crest.|northern United States. 1972.||
Bodacious|Crookham Company.|Crookham Company.|excellent eating quality, with a diverse adaptation. 1989.||||
Bojangles|Crookham.|Crookham.|bicolor shrunken-2, supersweet, excellent eating quality, very good holding ability in field and after harvest, larger ear with deep kernel.|||common maize rust. 1990.|
Bold|Novartis.|Novartis.|82 days, Yellow, su.||Midwestern U.S.|Common Rust(Rp1d) and MDMV.|
Bolero|Crookham.|Crookham.|mid-season yellow processing type with common rust resistance.|Bingo. 1993.|||
Bon Appetit (10330)|David Galinat.|Mesa Maize Inc.|se, bicolor.||||
Bon Bon (AV 2553)|Sunseeds.|Sunseeds.|F1 hybrid, improved supersweet, sh2/sh2 su1/su1, 83 day maturity; white silk, light yellow kernels; 14-18 rows.|Florida Staysweet.|||
Bonus|Novartis.|Novartis.|83 days, Yellow, su.||Midwestern U.S.|Common Rust(Rp1d) and MDMV.|
Characteristics: 78 days, White, sh2.|Adaptation: Northeast U.S.|Similar:|Breeder: Novartis.|Resistance:|Common Rust (Rp1d).|Parentage:|Name: Boreal
Characteristics: early mid-season bicolor, homozygous sugary enhancer, nice plant and package, large ear, sweet and exceptionally tender.|Illinois Foundation Seed.|Similar:|Breeders Choice. 1993.|Resistance:||Parentage:|Name: Bounty (SE156)
Bouquet|Crookham Company.||92 day maturity, Carmelcross class, yellow kernels, 12 rows. 1954.||||
Bravado|Crookham Company.|Crookham Company.|su/sh2, main season, bicolor.||||
Bravo (XP 1271)|Asgrow.|Asgrow.|hybrid, early. large ear, retains fresh silk color.|Golden Beauty. Asgrow Catalog. 1970.|||
Characteristics: se, bicolor, 73 days. 1991.|Breeder's Bicolor|Similar:|Breeder: Mesa Maize.|Resistance:||Parentage:|Name:
Characteristics: se, yellow, 73 days. 1988.|Breeder's Choice|Similar:|Breeder: Mesa Maize.|Resistance:||Parentage:|Name:
Brigadier (XP 3084)|Todd Cutting.|Seminis Veg. Seeds - Asgrow Brand.|full season, yellow, sh2.||fresh market. 1998.||
Brightgold|Michael-Leonard Company.||83 day maturity, 1919 GDD, Golden Cross class, yellow kernels, 16-18 rows. 1956.||||
