Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Acadian|Louisiana State University, Baton Rouge.|Louisiana State University, Baton Rouge.|copper skin and deep orange flesh; somewhat more chunky than Porto Rico; early maturity.|Unit I Porto Rico.|Louisiana and Michigan. LSU Expt. Sta. Circ. 46. 1956.|soil rot.|L21 x L131.
Allgold (Olka 240)|Oklahoma A and N College, Stillwater, Okla.|Oklahoma A and N College, Stillwater, Okla.|open pollinated, golden skin, high carotene, high ascorbic acid, robust vine, purple stem, entire leaves.||regionally for Oklahoma, Arkansas, and Mississippi. Okla. Sta. Bul. B388.|wilt and black rot.|seedling Creole x Triumph (Parent 10).
Apache|USDA, Beltsville, Maryland.|USDA California Expt. Sta., Davis, and New Mexico Agric. Expt. Sta., University Park, New Mexico.|high yields, attractive orange color skin, high carotene content good baking and storing quality.|Sunnyside.|to irrigated areas of the southwestern United States, 1959.|black rot, root knot nematodes.|(Yellow Yam 149 x Nancy Hall 42-1) x (Pelican Processor Triumph).
Characteristics: hybrid, especially adapted to vacuum and syrup-pack canning, keeps shape in can, good quality and flesh color.|Adaptation: wide regional. Southern Seedsman. 1948.|Similar:|Breeder: Department of Agric., New South Wales, Australia.|Resistance:|Adaptation trials and naming by USDA and Mississippi Agric. Expt. Sta.|Parentage: unknown.|Name: Australian Canner
Baker (V 2158)|Virginia Agric. Expt. Sta., Norfolk.|VICA Seed Farm, Amelia, Va.|excellent baking quality, keeps well in storage.||Virginia. Vegetable Growers News, January. 1969.||Virginian x numbered seedling.
Beauregard|Louisiana Agric. Expt. Sta., Baton Rouge, Louisiana.||consistent root shape, moderate deep orange flesh, stores well, uniform color when baked or canned, high yield of United States number one grade roots.|||fusarium wilt, soil rot. HortScience 27:377. 1987.|open pollinated seedling of L78-21.
Canbake (G-52-15-1)|Georgia Agric. Expt., Experiment.||open pollinated, roots medium size, variable tapered to spindle shape; russet-golden skin, uniform, bright orange flesh; good quality baking and canning; yields moderate to heavy; vigorous grower; late maturing; moist flesh type.|||black rot. Ga. Agric. Expt. Sta. Leaf. 18, January. 1958.|Australian Canner.
Caro-Gold|Clemson College, Clemson, South Carolina.||smooth skin and high yielding ability.|Goldrush.|good. South Carolina Expt. Sta. Circ. 115. 1958.|fusarium wilt.|C317 x Goldrush.
Carolina Bunch|USDA, Agr. Res. Serv., U.S. Vegetable Lab. and South Carolina Agr. Expt. Sta.||light copper skin and deep orange flesh roots.|||Fusarium wilt and low levels of resistance to Streptomyces soil rot. 1992.|open pollinated seedling of Excel.
Carolina Nugget|North Carolina State University in 1954.||medium orange flesh, rosy skin; growers report increased yields and superior root shape in heavy soils, seed roots available from Alabama Crop Improvement Association, Auburn, Alabama.|||fusarium wilt, southern root knot. HortScience 20:145. 1985.|HM1-36 x Lakan.
Carolina Ruby|North Carolina Agr. Res. Serv.||red to purple-red skin and orange flesh roots.|||fusarium wilt, soil rot. HortScience 34:155-156. 1999.|open pollinated seedling of Beauregard.
Caromex|North Carolina State University in 1971.||dark copper skin, deep orange flesh which remains bright after cooking and has a sweet flavor; roots remain firm in storage.|||fusarium wilt, but susceptible to flooding damage and postharvest chilling conditions, foundation seed available from North Carolina Foundation Seed Producers, Raleigh, North Carolina. HortScience 14:646. 1979.|NC228 x NC234.
Carver|Tuskegee Institute.||deep rose skin, deep orange flesh, suited for both fresh and processing market, high yield of United States number one roots, good storage qualities, foundation seed available from Alabama Crop Improvement Association, Auburn University, Auburn, Alabama.|||high to fusarium wilt, intermediate to southern root knot nematode. HortScience 12:266. 1977.|Centennial x Jewel.
Centennial (L-3-77)|Louisiana Agric. Expt. Sta., Baton Rouge.||open pollinated, prolific, heavy yield, roots medium to large, tapered, cylindrical, soft flesh type; good quality, high carotene content; vigorous grower; good keeper; sprouts good size but light in numbers.||wide. Hort. News N.J., January 1962. p.124.||(Unit IPR x Pelican Processor).
Cliett Bunch Porto Rico (Georgia Bunch Porto Rico)|Georgia Coastal Plain Expt. Sta., Tifton, Ga.|Georgia Coastal Plain Expt. Sta., Tifton, Ga.|short, 12 to 30' vines; more uniform roots than Vine Porto Rico.|Vine Porto Rico.|southern Georgia. Coastal Plain Expt. Sta. Mimeo. Paper number 60. 1945.||mutation from Vining Porto Rico.
Coastal Red|University of Georgia at the UGA Coastal Plain Experiment Station in 1978.||open pollinated, red skin, medium orange flesh color, good baking and canning quality, high yield, excellent storage quality, profuse plant production, foundation planting stock available from Department of Horticulture, University of Georgia, Coastal Plain Expt. Station, Tifton, Georgia.|||fusarium wilt, root knot nematodes, soil insects. HortScience 24:176-177. 1989.|seedling from GA-76.
Coppergold|L.A. Sharum, Ft. Smith, Arkansas.|L.A. Sharum, Ft. Smith, Arkansas.|skin has russetted copper color appearance; well adapted for canning stock.|Allgold.|Arkansas. 1955.|stem rot.|selected mutation in Allgold.
Cordner|Texas Agric. Expt. Sta. and Oklahoma State University.||smooth, bronze skin color and orange flesh, high yield, good sprout reproduction and excellent baking and canning quality, foundation planting stock available from Foundation Seed Service, Texas A and M University, College Station, Texas.|||fusarium wilt, stem rot, and southern root knot nematode. HortScience 19:455. 1984.|
Darby|Louisiana Agr. Expt. Sta.||dark rose skin and orange flesh roots, blocky shape to roots, and purple stems.|||fusarium wilt, soil rot. HortScience 30:398-399. 1995.|open pollinated seedling of L 83-523.
